,text,senti
116,Barcas worst start to a La Liga in god knows how long and we cant even st,Negative
117,Barca top of the league which means Griezmann is closer to winning his first La liga title,Positive
118,"matches the legendary Josep Samitier with his th goal for Bara
 Puts him joint FOURTH on the alltim",Positive
119,"I saw a guy at Starbucks today
No iPhone
No tablet
No laptop
He just sat there
Drinking coffee
Like a Psychopath",Positive
120,Look at Andre Gomes He plays similar to parejo and he was a massive flop at bara Evert,Neutral
121,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
122,Ernesto Valverde hails his forward line and says great players always find each otherBarca FC,Positive
123,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
124,Barca then a close united followed by Arsenal then Liverpool,Positive
125,I told a few people that Parejo was the one Barca should have taken when they signed Gomes He has th,Neutral
126,Real Mallorca vs Real MadridLa LigaLive score and updatesBarca FCBarca,Positive
127,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
128,Tridente Bara Griezmann LuisSuarez Messi BeinSport,Neutral
129,Barca fans worldwide now,Positive
130,Messi looks as if he was never injured and Barcas top of the league Reals in the mud vamosss,Negative
131,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
132," MDLeading Trident

 Barapoints
 R Madrid 
 Granada 
 At Madrid 

 Bara took command o",Neutral
133,Great win but more importantly good to see MSG having great link up play now lets get ready for Slavia,Positive
134," Messi 
 Csar
 Kubala
Samiter
",Neutral
135,If you know anything about Juventus then you would understand But then again you dont you are ju,Neutral
136,Frenkie de Jong has shown signs of high intelligence that only IniestaXavi have previously shown in Baras midfield,Positive
137,"
 goals for Bara

 Next targets
 Kubala 
 Cesar 
 Messi
",Negative
138, Read all about it,Neutral
139,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
140,"Messi for Barca

 games
 goals
 assists",Neutral
141,"
 goals for Bara

 Next targets
 Kubala 
 Cesar 
 Messi
",Negative
142,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
143,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
144,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
145,Quel position Arthur melo,Neutral
146,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
147,Frenkie de Jong has shown signs of high intelligence that only IniestaXavi have previously shown in Baras midfield,Positive
148,"
 goals for Bara

 Next targets
 Kubala 
 Cesar 
 Messi
",Negative
149,Barca prevents them from losing twice in a weekAFers troll Madrid with Clasico delay after the embarrasingdef,Negative
150,The thing is weve made it so easy for Barca to win the league Its not like theyve been,Positive
151,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
152," Messi 
 Csar
 Kubala
Samiter
",Neutral
153,None of the others had the on field solo impact Gaucho had Maradona never fully settled at B,Positive
154,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
155,Barca would so beat them like they wouldnt know what hit them ,Positive
156,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
157,Frenkies decision making is amazing as well as his pace which isnt talked about very much He has great acceleration f,Positive
158,"BarcelonaEibar
Real MadridMallorca
Barca now top of the standings with pts
FORCABARCA",Positive
159,Would have loved to play this Real Madrid right next weekend Despite the usual flaws we often mentioned here Bara ha,Positive
160,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
161,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
162,So bara back at the laliga summit even after we gave all this clowns a head start I guess its safe to saylaliga in y,Positive
163,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
164,Expected thisnow barca leading bypt,Positive
165,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
166," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
167,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
168,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
169,Would have loved to play this Real Madrid right next weekend Despite the usual flaws we often mentioned here Bara ha,Positive
170,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
171,"Barca had a terrible start and are now top of the table lmao 

hala Madrid",Negative
172,Barca lost and you dont expect people to troll Messi Why Who are they supposedly to troll Semendo ,Negative
173," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
174,Barca fans eeh Juventus is only of relevance to yall cos your worst nightmare plays for themcry hard babiescry,Negative
175,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
176,Mourinho talking about how the only way to play the historic Bara of Pep Guardiola was to Park The Bus with Inter Mil,Positive
177,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
178,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
179,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
180,"Few weeks ago when Barca was occupying the th position

Madrid fans starting saying we were going to relegation

But",Positive
181," Messi 
 Csar
 Kubala
Samiter
",Neutral
182,"Courtois has made onlysaves this season and he has concededgoals already Madrid no play Barca yet 

Hes a",Neutral
183," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
184," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as B",Positive
185,"Courtois has made onlysaves this season and he has concededgoals already Madrid no play Barca yet 

Hes a",Neutral
186,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
187,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
188,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
189,Need confidence Zidane doesnt need to look beyond BarcaFromdefeats early i,Positive
190,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
191,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
192,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
193,"My favourite horror moment 

Watching Barca at Anfield with my dad lose alead",Negative
194,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
195,My dawg Cory Higgins got me Courtside Im in the mix you gotta love it  CPSAFamily BARCA Euroleague ,Positive
196,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
197," Big win against
Well done guys PALAU bara viscabara fcbarcelona",Positive
198,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
199,Oh I agree and I think that decline is why teams now know they are beatable I still think if Messi s,Negative
200,Rival watch Real Madrid suffer aloss at the hands of RCD Mallorca leaving Bara at the top of the table at the end,Negative
