,price,speed,hd,ram,screen,cd,multi,premium,ads
63,2495,33,250,8,15,no,no,yes,94
64,2220,33,250,4,14,yes,no,yes,94
65,2195,66,85,2,14,no,no,yes,94
66,1495,25,170,4,14,no,no,yes,94
67,2325,66,130,4,14,no,no,yes,94
68,1499,25,120,4,14,no,no,yes,94
69,2199,33,212,4,14,no,no,yes,94
70,3095,66,245,8,14,no,no,yes,94
71,4020,66,500,8,14,yes,no,yes,94
72,2725,33,210,4,17,no,no,yes,94
73,1695,33,170,4,14,no,no,yes,94
74,3044,50,245,8,14,no,no,yes,94
75,2999,50,170,4,14,no,no,yes,94
76,2844,33,245,8,14,no,no,yes,94
77,1975,33,210,8,14,no,no,yes,94
78,3220,66,340,8,15,yes,no,yes,94
79,2595,50,130,4,14,no,no,yes,94
80,1629,25,80,8,14,no,no,no,94
81,3399,66,230,4,15,no,no,yes,94
82,2495,33,245,8,14,no,no,yes,94
83,2990,66,210,8,15,no,no,yes,94
84,2720,33,250,8,15,yes,no,yes,94
85,2595,25,245,8,14,no,no,yes,94
86,1999,33,120,8,14,no,no,no,94
87,2075,33,210,8,14,no,no,yes,94
88,1795,33,130,4,14,no,no,yes,94
89,1395,25,85,2,14,no,no,yes,94
90,3490,50,330,8,14,no,no,yes,94
91,2975,50,210,4,17,no,no,yes,94
92,2145,66,130,4,14,no,no,yes,94
93,2420,33,170,8,15,yes,no,yes,94
94,2505,50,210,8,14,no,no,yes,94
95,2995,66,340,16,14,no,no,yes,95
96,1495,25,170,4,14,no,no,yes,95
97,1999,33,170,4,14,no,no,yes,95
98,1920,33,170,4,14,yes,no,yes,95
99,2595,25,340,16,14,no,no,yes,95
100,1695,33,170,4,14,no,no,yes,95
101,1995,33,250,4,14,no,no,yes,95
102,2195,25,245,8,14,no,no,yes,95
103,1795,66,85,2,14,no,no,yes,95
104,2999,66,330,4,15,no,no,yes,95
105,1395,25,85,2,14,no,no,yes,95
106,2995,66,250,8,17,no,no,yes,95
107,2699,50,212,8,14,no,no,yes,95
108,1720,25,170,4,14,yes,no,yes,95
109,2045,66,170,4,14,no,no,yes,95
110,2145,66,170,4,14,no,no,yes,95
111,2995,66,340,8,15,no,no,yes,95
112,2095,33,130,4,14,no,no,yes,95
113,3895,50,452,8,14,no,no,yes,95
114,2895,50,340,16,14,no,no,yes,95
115,1499,25,170,4,14,no,no,yes,95
116,3165,66,250,4,17,no,no,yes,95
117,2525,50,250,4,15,no,no,yes,95
118,2325,66,250,8,14,no,no,yes,95
119,2499,33,170,4,14,no,no,yes,95
120,2799,33,230,4,14,no,no,yes,95
121,1795,33,170,4,14,no,no,yes,95
122,2199,33,210,4,14,no,no,yes,95
123,2355,50,250,8,14,no,no,yes,95
124,3220,66,340,8,15,yes,no,yes,95
125,2420,33,170,8,15,yes,no,yes,95
126,2544,33,245,8,14,no,no,yes,95
127,2945,50,250,4,17,no,no,yes,95
128,2295,33,245,8,14,no,no,yes,95
129,1495,33,85,2,14,no,no,yes,95
130,2065,50,170,4,14,no,no,yes,95
131,2295,66,130,4,14,no,no,yes,95
132,1799,25,170,4,14,no,no,yes,95
133,2220,33,250,4,14,yes,no,yes,95
134,2075,50,170,4,14,no,no,yes,95
135,1749,25,120,4,14,no,no,yes,95
136,2195,25,245,8,14,no,no,yes,95
137,2255,50,250,8,14,no,no,yes,95
138,2395,33,250,4,15,no,no,yes,95
139,2720,33,250,8,15,yes,no,yes,95
140,2195,50,130,4,14,no,no,yes,95
141,2225,33,250,8,14,no,no,yes,95
142,4020,66,500,8,14,yes,no,yes,95
143,2475,50,250,8,14,no,no,yes,95
144,1975,50,170,4,14,no,no,yes,95
145,3995,66,452,8,14,no,no,yes,95
146,2595,66,245,8,14,no,no,yes,95
147,2295,66,170,4,14,no,no,yes,95
148,2199,33,212,4,14,no,no,yes,95
149,1975,33,250,8,14,no,no,yes,95
150,3895,66,500,8,15,no,no,yes,95
151,2095,33,250,4,15,no,no,yes,95
152,2225,33,250,8,15,no,no,yes,95
153,3599,66,330,8,14,no,no,yes,95
154,2075,33,250,8,14,no,no,yes,95
155,2499,33,212,8,14,no,no,yes,95
156,2575,66,250,8,15,no,no,yes,95
157,2999,50,170,4,14,no,no,yes,95
158,2195,33,170,8,15,no,no,yes,95
159,3065,50,250,4,17,no,no,yes,95
160,3399,66,230,4,15,no,no,yes,95
161,1995,33,130,4,14,no,no,yes,95
162,1595,25,170,4,15,no,no,yes,95
163,2645,50,250,4,15,no,no,yes,95
164,2345,50,250,8,14,no,no,yes,95
165,2795,33,340,16,14,no,no,yes,95
166,1895,25,130,4,14,no,no,yes,95
167,2495,50,245,8,14,no,no,yes,95
168,2599,50,210,4,14,no,no,yes,95
169,1595,33,85,2,14,no,no,yes,95
170,1999,33,120,8,14,no,no,no,95
171,2425,66,250,8,14,no,no,yes,95
172,2495,33,250,8,15,no,no,yes,95
173,1795,33,170,4,15,no,no,yes,95
174,2744,66,245,8,14,no,no,yes,95
175,3795,33,452,8,14,no,no,yes,95
176,2745,66,250,4,15,no,no,yes,95
177,2399,50,212,4,14,no,no,yes,95
178,2645,33,250,8,17,no,no,yes,95
179,1945,33,170,4,14,no,no,yes,95
180,1695,50,85,2,14,no,no,yes,95
181,2195,50,170,4,14,no,no,yes,95
182,2815,33,250,4,17,no,no,yes,95
183,1899,25,120,4,14,no,no,yes,95
184,2644,50,245,8,14,no,no,yes,95
185,3795,66,500,8,14,no,no,yes,95
186,2395,33,245,8,14,no,no,yes,95
187,1695,33,170,4,14,no,no,yes,95
188,2575,66,250,8,14,no,no,yes,95
189,2695,33,340,16,14,no,no,yes,95
190,2999,66,245,16,15,no,no,yes,100
191,1899,33,170,4,14,no,no,yes,100
192,2499,50,210,4,14,no,no,yes,100
193,1999,33,213,8,14,no,no,yes,100
194,2055,50,170,4,14,no,no,yes,100
195,2065,50,170,4,14,no,no,yes,100
196,2055,33,250,8,14,no,no,yes,100
197,2099,33,212,4,14,no,no,yes,100
198,1995,33,130,4,14,no,no,yes,100
199,2220,33,250,4,14,yes,no,yes,100
200,3220,66,340,8,15,yes,no,yes,100
201,3995,66,452,8,14,no,no,yes,100
202,2785,33,250,8,17,no,no,yes,100
203,2475,50,250,8,15,no,no,yes,100
204,1499,25,170,4,14,no,no,yes,100
205,1595,33,85,2,14,no,no,yes,100
206,2099,66,120,4,14,no,no,yes,100
207,2885,66,170,8,15,no,no,yes,100
208,3795,33,452,8,14,no,no,yes,100
209,2295,66,170,4,14,no,no,yes,100
210,3895,66,500,8,15,no,no,yes,100
211,2395,33,245,8,14,no,no,yes,100
212,3135,66,250,8,17,no,no,yes,100
213,2420,33,170,8,15,yes,no,yes,100
214,2125,66,170,4,14,no,no,yes,100
215,2985,66,250,8,17,no,no,yes,100
216,1395,25,85,2,14,no,no,yes,100
217,2295,33,245,8,14,no,no,yes,100
218,2095,33,130,4,14,no,no,yes,100
219,2795,33,340,16,14,no,no,yes,100
220,1945,33,170,4,14,no,no,yes,100
221,2635,33,250,8,17,no,no,yes,100
222,2695,66,250,8,15,no,no,yes,100
223,2199,50,213,8,14,no,no,yes,100
224,3895,50,452,8,14,no,no,yes,100
225,2599,50,212,8,14,no,no,yes,100
226,2745,66,170,8,14,no,no,yes,100
227,1920,33,170,4,14,yes,no,yes,100
228,2895,50,340,16,14,no,no,yes,100
229,2199,33,210,4,14,no,no,yes,100
230,2915,50,250,8,17,no,no,yes,100
231,1999,33,120,8,14,no,no,no,100
232,2720,33,250,8,15,yes,no,yes,100
233,1999,33,170,4,14,no,no,yes,100
234,2195,33,170,8,15,no,no,yes,100
235,2195,25,245,8,14,no,no,yes,100
236,2295,66,130,4,14,no,no,yes,100
237,1595,25,170,4,15,no,no,yes,100
238,1695,33,170,4,14,no,no,yes,100
239,1495,25,170,4,14,no,no,yes,100
240,3795,66,500,8,14,no,no,yes,100
241,1699,33,120,4,14,no,no,yes,100
242,1895,25,130,4,14,no,no,yes,100
243,2335,50,250,8,14,no,no,yes,100
244,2495,50,245,8,14,no,no,yes,100
245,2575,66,250,8,14,no,no,yes,100
246,2495,33,250,8,15,no,no,yes,100
247,3299,66,245,16,15,no,no,yes,100
248,2699,66,213,8,14,no,no,yes,100
249,1695,50,85,2,14,no,no,yes,100
250,2999,66,170,4,14,no,no,yes,100
251,2399,66,213,8,14,no,no,yes,100
252,1499,25,170,4,14,no,no,yes,100
253,2395,33,170,8,14,no,no,yes,100
254,1720,25,170,4,14,yes,no,yes,100
255,1495,33,85,2,14,no,no,yes,100
256,2399,66,120,4,14,no,no,yes,100
257,3035,50,250,8,17,no,no,yes,100
258,2449,33,230,4,14,no,no,yes,100
259,1775,33,170,4,14,no,no,yes,100
260,2599,33,245,16,15,no,no,yes,100
261,2995,66,340,8,15,no,no,yes,100
262,2345,33,250,8,15,no,no,yes,100
263,2535,33,170,8,15,no,no,yes,100
264,2345,50,250,8,14,no,no,yes,100
265,1899,50,120,4,14,no,no,yes,100
266,2195,50,130,4,14,no,no,yes,100
267,2645,50,170,8,14,no,no,yes,100
268,2785,50,170,8,15,no,no,yes,100
269,2799,50,245,16,15,no,no,yes,100
270,2999,66,340,4,15,no,no,yes,100
271,2095,33,250,4,15,no,no,yes,100
272,4020,66,500,8,14,yes,no,yes,100
273,2595,50,250,8,15,no,no,yes,100
274,2695,33,340,16,14,no,no,yes,100
275,2195,33,250,8,15,no,no,yes,100
276,2995,66,340,16,14,no,no,yes,100
277,2195,50,170,4,14,no,no,yes,100
278,2399,33,212,8,14,no,no,yes,100
279,2405,66,250,8,14,no,no,yes,100
280,1795,66,85,2,14,no,no,yes,100
281,2225,33,250,8,14,no,no,yes,100
282,1995,33,250,4,14,no,no,yes,100
283,2299,50,212,4,14,no,no,yes,100
284,1795,33,170,4,15,no,no,yes,100
285,2545,66,250,8,15,no,no,yes,100
286,2595,66,245,8,14,no,no,yes,100
287,1399,25,170,4,14,no,no,yes,100
288,2475,50,250,8,14,no,no,yes,100
289,2595,25,340,16,14,no,no,yes,100
290,1695,50,85,2,14,no,no,yes,108
291,3995,66,452,8,14,no,no,yes,108
292,2999,66,240,4,15,no,no,yes,108
293,2495,50,245,8,14,no,no,yes,108
294,2455,66,250,8,14,no,no,yes,108
295,2299,50,212,4,14,no,no,yes,108
296,2690,25,340,16,14,no,no,yes,108
297,2155,33,250,8,14,no,no,yes,108
298,2890,33,340,16,14,no,no,yes,108
299,1899,33,170,4,14,no,no,yes,108
300,1595,25,170,4,14,no,no,yes,108
301,1990,25,130,4,14,no,no,yes,108
302,1895,25,130,4,14,no,no,yes,108
303,1895,33,170,4,14,no,no,yes,108
304,2799,50,245,16,15,no,no,yes,108
305,2590,50,245,8,14,no,no,yes,108
306,1499,25,170,4,14,no,no,yes,108
307,2955,50,250,8,17,no,no,yes,108
308,2285,50,250,8,14,no,no,yes,108
309,2475,50,250,8,15,no,no,yes,108
310,3795,33,452,8,14,no,no,yes,108
311,1999,33,213,8,14,no,no,yes,108
312,2599,50,212,8,14,no,no,yes,108
313,2895,50,340,16,14,no,no,yes,108
314,3895,50,452,8,14,no,no,yes,108
315,2695,66,250,8,14,no,no,yes,108
316,1995,50,170,4,14,no,no,yes,108
317,2399,66,120,4,14,no,no,yes,108
318,2605,33,250,8,17,no,no,yes,108
319,2335,66,250,8,14,no,no,yes,108
320,2195,66,170,4,14,no,no,yes,108
321,2425,66,250,8,15,no,no,yes,108
322,2995,66,340,16,14,no,no,yes,108
323,2599,33,245,16,15,no,no,yes,108
324,2390,33,245,8,14,no,no,yes,108
325,1690,33,85,2,14,no,no,yes,108
326,1495,33,85,2,14,no,no,yes,108
327,2395,33,250,8,14,no,no,yes,108
328,2099,33,212,4,14,no,no,yes,108
329,3090,66,340,16,14,no,no,yes,108
330,2599,33,240,4,15,no,no,yes,108
331,1999,33,170,4,14,no,no,yes,108
332,2195,50,130,4,14,no,no,yes,108
333,2190,33,130,4,14,no,no,yes,108
334,2025,50,170,4,14,no,no,yes,108
335,1699,33,120,4,14,no,no,yes,108
336,2790,33,340,16,14,no,no,yes,108
337,1795,33,170,4,14,no,no,yes,108
338,2990,50,340,16,14,no,no,yes,108
339,2905,66,250,8,17,no,no,yes,108
340,2825,33,250,8,17,no,no,yes,108
341,2390,66,130,4,14,no,no,yes,108
342,2699,66,213,8,14,no,no,yes,108
343,2995,66,340,8,15,no,no,yes,108
344,1590,33,85,2,14,no,no,yes,108
345,2345,33,250,8,15,no,no,yes,108
346,2199,50,213,8,14,no,no,yes,108
347,2290,50,130,4,14,no,no,yes,108
348,2595,50,250,8,15,no,no,yes,108
349,2515,33,250,8,15,no,no,yes,108
350,2145,50,170,4,14,no,no,yes,108
351,2405,50,250,8,14,no,no,yes,108
352,2525,50,250,8,14,no,no,yes,108
353,2595,50,250,8,15,no,no,yes,108
354,2090,33,130,4,14,no,no,yes,108
355,2075,66,170,4,14,no,no,yes,108
356,2799,50,240,4,15,no,no,yes,108
357,3299,66,245,16,15,no,no,yes,108
358,2645,66,250,8,15,no,no,yes,108
359,3125,66,250,8,17,no,no,yes,108
360,2295,33,245,8,14,no,no,yes,108
361,1775,33,170,4,14,no,no,yes,108
362,2095,33,130,4,14,no,no,yes,108
363,2155,50,250,8,14,no,no,yes,108
364,3075,50,250,8,17,no,no,yes,108
365,2815,66,250,8,15,no,no,yes,108
366,1599,25,170,4,14,no,no,yes,108
367,2099,33,120,4,14,no,no,no,108
368,2645,50,250,8,15,no,no,yes,108
369,1795,66,85,2,14,no,no,yes,108
370,2035,33,250,8,14,no,no,yes,108
371,2490,33,245,8,14,no,no,yes,108
372,3225,66,212,4,15,no,no,no,108
373,2690,66,245,8,14,no,no,yes,108
374,2195,25,245,8,14,no,no,yes,108
375,1890,66,85,2,14,no,no,yes,108
376,1995,33,130,4,14,no,no,yes,108
377,2695,33,340,16,14,no,no,yes,108
378,2595,25,340,16,14,no,no,yes,108
379,1595,33,85,2,14,no,no,yes,108
380,1490,25,85,2,14,no,no,yes,108
381,2125,33,250,8,15,no,no,yes,108
382,2399,66,213,8,14,no,no,yes,108
383,2795,33,340,16,14,no,no,yes,108
384,2290,25,245,8,14,no,no,yes,108
385,2395,33,245,8,14,no,no,yes,108
386,2399,33,212,8,14,no,no,yes,108
387,1790,50,85,2,14,no,no,yes,108
388,2099,66,120,4,14,no,no,yes,108
389,1395,25,85,2,14,no,no,yes,108
390,1895,50,170,4,14,no,no,yes,108
391,2295,66,130,4,14,no,no,yes,108
392,2595,66,245,8,14,no,no,yes,108
393,1899,50,120,4,14,no,no,yes,108
394,1399,25,170,4,14,no,no,yes,108
395,2999,66,170,4,14,no,no,yes,108
396,2999,66,245,16,15,no,no,yes,108
397,2449,33,230,4,14,no,no,yes,108
398,1795,33,170,4,14,no,no,yes,139
399,1899,33,212,4,14,no,no,yes,139
400,2395,33,340,8,14,no,no,yes,139
401,2399,50,320,8,14,no,no,yes,139
402,1595,33,170,4,14,no,no,yes,139
403,2490,33,340,8,14,no,no,yes,139
404,2995,66,452,16,14,no,no,yes,139
405,2890,33,452,16,14,no,no,yes,139
406,2190,33,214,4,15,no,no,yes,139
407,2399,66,213,8,14,no,no,yes,139
408,2285,50,250,8,14,no,no,yes,139
409,2590,33,340,8,15,no,no,yes,139
410,2795,33,452,16,14,no,no,yes,139
411,1495,33,170,4,14,no,no,yes,139
412,2075,66,170,4,14,no,no,yes,139
413,2090,33,214,4,15,no,no,yes,139
414,2195,33,250,8,15,no,no,yes,139
415,3999,66,340,16,17,no,no,yes,139
416,1699,33,120,4,14,no,no,yes,139
417,1995,33,250,8,14,no,no,yes,139
418,1690,33,107,2,14,no,no,yes,139
419,3495,33,452,8,14,no,no,yes,139
420,2195,66,170,4,14,no,no,yes,139
421,3090,66,452,16,14,no,no,yes,139
422,2690,25,452,16,14,no,no,yes,139
423,1895,25,214,4,14,no,no,yes,139
424,2495,50,250,8,15,no,no,yes,139
425,2405,50,250,8,14,no,no,yes,139
426,1595,33,107,2,14,no,no,yes,139
427,2890,33,452,16,15,no,no,yes,139
428,2390,25,340,8,14,no,no,yes,139
429,1690,33,107,2,15,no,no,yes,139
430,2295,25,340,8,14,no,no,yes,139
431,2790,33,452,16,14,no,no,yes,139
432,2695,33,452,16,14,no,no,yes,139
433,2595,25,452,16,14,no,no,yes,139
434,1995,33,214,4,14,no,no,yes,139
435,2049,33,405,4,14,no,no,yes,139
436,1399,25,170,4,14,no,no,yes,139
437,2805,33,250,8,17,no,no,yes,139
438,2019,33,120,4,14,no,no,no,139
439,3055,50,250,8,17,no,no,yes,139
440,2990,50,452,16,14,no,no,yes,139
441,2605,33,250,8,17,no,no,yes,139
442,2125,33,250,8,15,no,no,yes,139
443,1490,25,107,2,14,no,no,yes,139
444,1699,33,170,4,14,no,no,yes,139
445,2495,33,340,8,14,no,no,yes,139
446,2599,33,245,16,15,no,no,yes,139
447,2220,33,250,8,14,yes,no,yes,139
448,1590,33,107,2,15,no,no,yes,139
449,1499,33,120,4,14,no,no,yes,139
450,2625,66,250,8,15,no,no,yes,139
451,1395,25,107,2,14,no,no,yes,139
452,2395,33,250,8,14,no,no,yes,139
453,2420,33,250,8,15,yes,no,yes,139
454,2425,66,250,8,15,no,no,yes,139
455,2515,33,250,8,15,no,no,yes,139
456,2375,50,250,8,15,no,no,yes,139
457,3105,66,250,8,17,no,no,yes,139
458,2390,66,214,4,15,no,no,yes,139
459,2905,66,250,8,17,no,no,yes,139
460,2690,25,452,16,15,no,no,yes,139
461,2695,66,250,8,14,no,no,yes,139
462,1790,50,107,2,14,no,no,yes,139
463,3495,66,500,8,14,no,no,yes,139
464,2790,33,452,16,15,no,no,yes,139
465,1790,50,107,2,15,no,no,yes,139
466,1795,66,107,2,14,no,no,yes,139
467,2995,66,340,8,15,yes,no,yes,139
468,1995,50,170,4,14,no,no,yes,139
469,2599,50,405,8,14,no,no,yes,139
470,3720,66,500,8,14,yes,no,yes,139
471,2155,33,250,8,14,no,no,yes,139
472,1599,25,170,4,14,no,no,yes,139
473,2525,50,250,8,14,no,no,yes,139
474,2299,33,405,8,14,no,no,yes,139
475,1895,33,170,4,14,no,no,yes,139
476,1490,25,107,2,15,no,no,yes,139
477,2035,33,250,8,14,no,no,yes,139
478,1720,33,170,4,14,yes,no,yes,139
479,2595,50,250,8,15,no,no,yes,139
480,2290,50,214,4,15,no,no,yes,139
481,2455,50,250,8,15,no,no,yes,139
482,1695,50,107,2,14,no,no,yes,139
483,2249,50,230,4,14,no,no,yes,139
484,1999,50,212,4,14,no,no,yes,139
485,2455,66,250,8,14,no,no,yes,139
486,2595,50,340,8,14,no,no,yes,139
487,2859,66,212,4,15,no,no,no,139
488,2599,50,405,4,15,no,no,yes,139
489,2855,50,250,8,17,no,no,yes,139
490,2790,66,340,8,14,no,no,yes,139
491,3990,66,1000,16,14,no,no,yes,139
492,3595,50,452,8,14,no,no,yes,139
493,2195,50,214,4,14,no,no,yes,139
494,3599,66,405,8,14,no,no,yes,139
495,2690,50,340,8,15,no,no,yes,139
496,1999,33,213,8,14,no,no,yes,139
497,2990,50,452,16,15,no,no,yes,139
498,1890,66,107,2,14,no,no,yes,139
499,2190,33,214,4,14,no,no,yes,139
500,2720,50,250,8,15,yes,no,yes,139
501,2145,50,170,4,14,no,no,yes,139
502,2295,66,214,4,14,no,no,yes,139
503,1990,25,214,4,15,no,no,yes,139
504,2695,66,340,8,14,no,no,yes,139
505,3149,66,230,8,14,no,no,yes,139
506,1775,33,170,4,14,no,no,yes,139
507,2490,33,340,8,15,no,no,yes,139
508,3599,33,340,16,17,no,no,yes,139
509,2690,50,340,8,14,no,no,yes,139
510,3195,66,540,8,15,no,no,yes,139
511,3695,66,452,8,14,no,no,yes,139
512,2645,50,250,8,15,no,no,yes,139
513,3090,66,452,16,15,no,no,yes,139
514,1890,66,107,2,15,no,no,yes,139
515,1999,33,170,4,14,no,no,yes,139
516,2935,50,250,8,17,no,no,yes,139
517,1990,25,214,4,14,no,no,yes,139
518,2290,50,214,4,14,no,no,yes,139
519,2390,66,214,4,14,no,no,yes,139
520,2025,50,170,4,14,no,no,yes,139
521,2095,33,214,4,14,no,no,yes,139
522,2590,33,340,8,14,no,no,yes,139
523,1499,25,170,4,14,no,no,yes,139
524,2325,33,250,8,15,no,no,yes,139
525,2099,66,120,4,14,no,no,yes,139
526,2999,66,245,16,15,no,no,yes,139
527,2790,66,340,8,15,no,no,yes,139
528,1590,33,107,2,14,no,no,yes,139
529,2499,50,170,4,14,no,no,yes,139
530,2575,50,250,8,15,no,no,yes,139
531,2390,25,340,8,15,no,no,yes,139
532,1495,33,107,2,14,no,no,yes,139
533,2895,50,452,16,14,no,no,yes,139
534,2335,66,250,8,14,no,no,yes,139
535,2090,33,214,4,14,no,no,yes,139
536,2815,66,250,8,15,no,no,yes,139
537,2195,50,250,4,14,no,no,yes,176
538,1899,33,170,4,14,no,no,yes,176
539,3599,66,450,8,14,no,no,yes,176
540,2095,33,250,4,14,no,no,yes,176
541,2690,33,452,16,15,no,no,yes,176
542,2795,66,250,8,15,no,no,yes,176
543,2799,33,240,4,14,no,no,no,176
544,2698,66,245,8,14,yes,no,yes,176
545,2390,33,340,8,14,no,no,yes,176
546,2695,66,340,8,14,no,no,yes,176
547,2095,33,214,4,14,no,no,yes,176
548,2599,50,450,8,15,no,no,yes,176
549,1825,50,170,4,14,no,no,yes,176
550,1790,50,107,2,15,no,no,yes,176
551,2720,66,340,8,14,yes,no,yes,176
552,1295,25,107,2,14,no,no,yes,176
553,2990,50,452,16,14,no,no,yes,176
554,1890,66,107,2,15,no,no,yes,176
555,2595,33,452,16,14,no,no,yes,176
556,1490,33,107,2,14,no,no,yes,176
557,2075,50,250,8,14,no,no,yes,176
558,3699,33,345,16,17,no,no,yes,176
559,2690,33,452,16,14,no,no,yes,176
560,2245,66,250,4,15,no,no,yes,176
561,3999,66,345,16,17,no,no,yes,176
562,2195,50,214,4,14,no,no,yes,176
563,2999,50,240,4,14,no,no,no,176
564,1895,33,212,8,14,no,no,yes,176
565,2295,50,212,8,15,no,no,yes,176
566,2190,33,214,4,14,no,no,yes,176
567,1690,33,107,2,14,no,no,yes,176
568,1390,25,107,2,15,no,no,yes,176
569,1890,25,214,4,14,no,no,yes,176
570,2290,25,340,8,14,no,no,yes,176
571,1720,33,170,4,14,yes,no,yes,176
572,2325,66,250,8,15,no,no,yes,176
573,1699,33,170,4,14,no,no,yes,176
574,2045,50,250,4,15,no,no,yes,176
575,2299,66,120,4,14,no,no,no,176
576,2755,66,250,8,17,no,no,yes,176
577,2145,66,250,4,14,no,no,yes,176
578,3090,66,452,16,14,no,no,yes,176
579,2790,66,340,8,14,no,no,yes,176
580,2099,33,120,4,14,no,no,no,176
581,1998,66,130,4,14,yes,no,yes,176
582,2590,33,340,8,14,no,no,yes,176
583,3365,50,540,8,17,no,no,yes,176
584,2545,66,250,8,15,no,no,yes,176
585,3265,33,540,8,17,no,no,yes,176
586,2250,66,170,4,14,yes,no,yes,176
587,2890,33,452,16,14,no,no,yes,176
588,1599,25,170,4,14,no,no,yes,176
589,1825,33,170,4,15,no,no,yes,176
590,2125,66,170,4,15,no,no,yes,176
591,2245,33,250,8,15,no,no,yes,176
592,1945,33,250,4,15,no,no,yes,176
593,2890,33,452,16,15,no,no,yes,176
594,1599,66,130,4,14,no,no,yes,176
595,2295,66,214,4,14,no,no,yes,176
596,1520,25,80,4,14,yes,no,yes,176
597,2745,33,540,8,14,no,no,yes,176
598,2899,66,340,8,15,no,no,yes,176
599,2390,66,214,4,14,no,no,yes,176
600,1675,25,120,4,14,no,no,no,176
601,3149,66,230,8,14,no,no,yes,176
602,2590,25,452,16,14,no,no,yes,176
603,1999,50,212,4,14,no,no,yes,176
604,2590,25,452,16,15,no,no,yes,176
605,1449,25,120,4,14,no,no,no,176
606,1490,33,107,2,15,no,no,yes,176
607,2299,66,245,8,14,no,no,yes,176
608,1595,33,107,2,14,no,no,yes,176
609,2495,33,250,8,15,no,no,yes,176
610,1890,66,107,2,14,no,no,yes,176
611,2995,66,452,16,14,no,no,yes,176
612,3609,66,527,4,15,no,no,no,176
613,2790,66,340,8,15,no,no,yes,176
614,2295,33,340,8,14,no,no,yes,176
615,1799,33,120,4,14,no,no,no,176
616,3990,66,1000,16,14,no,no,yes,176
617,2999,66,240,4,15,no,no,yes,176
618,2275,33,250,8,15,no,no,yes,176
619,2290,50,214,4,15,no,no,yes,176
620,1499,33,130,4,14,no,no,yes,176
621,2555,50,250,8,17,no,no,yes,176
622,2025,66,170,4,14,no,no,yes,176
623,2299,33,450,8,14,no,no,yes,176
624,1975,33,250,8,14,no,no,yes,176
625,2109,33,120,4,14,no,no,no,176
626,3595,66,500,8,15,no,no,yes,176
627,2595,66,340,8,15,no,no,yes,176
628,2395,66,250,4,14,no,no,yes,176
629,1899,33,250,4,14,no,no,yes,176
630,2120,33,212,8,14,yes,no,yes,176
631,1790,50,107,2,14,no,no,yes,176
632,1899,33,212,4,14,no,no,yes,176
633,1990,33,214,4,14,no,no,yes,176
