male,age,state,time.served,max.sentence,multiple.offenses,crime,violator
Yes,37.2,Maharashtra,2,16,No,Minor,Yes
Yes,23.2,Maharashtra,0.9,16,No,Minor,No
Yes,31.4,Maharashtra,0.7,16,No,Minor,No
Yes,39.1,Maharashtra,0,16,No,Severe,No
No,50.6,Maharashtra,3,12,No,Minor,No
No,36.3,Maharashtra,5.2,16,No,Major,No
Yes,29.9,Maharashtra,4.8,12,Yes,Minor,Yes
Yes,27.5,Maharashtra,3.8,12,Yes,Severe,Yes
Yes,28.1,Maharashtra,4.2,12,Yes,Major,No
Yes,34.2,Maharashtra,4.4,12,Yes,Minor,Yes
Yes,36.5,Maharashtra,3.9,12,Yes,Economic,Yes
Yes,33.5,Maharashtra,4.2,12,Yes,Minor,Yes
Yes,55,Maharashtra,4.2,12,Yes,Economic,No
Yes,31.2,Maharashtra,5.2,15,Yes,Economic,No
Yes,39.6,Maharashtra,4.7,13,Yes,Economic,No
Yes,37.3,Maharashtra,4.6,12,Yes,Minor,Yes
Yes,21.1,Maharashtra,4.9,12,Yes,Minor,No
Yes,34.9,Maharashtra,4.5,12,Yes,Economic,Yes
Yes,24.9,Maharashtra,0.1,18,Yes,Minor,No
No,61.6,Maharashtra,4.5,12,Yes,Minor,No
Yes,48,Maharashtra,5.2,12,Yes,Minor,No
Yes,41.7,Maharashtra,4.4,12,Yes,Minor,Yes
Yes,21.4,Maharashtra,4.3,12,Yes,Minor,No
Yes,54.5,Maharashtra,4.1,12,Yes,Minor,No
Yes,38.8,Maharashtra,3.7,12,Yes,Minor,No
Yes,20.2,Maharashtra,2.1,12,Yes,Minor,No
Yes,41.4,Maharashtra,4.1,12,Yes,Minor,Yes
Yes,48.2,Maharashtra,5.3,12,Yes,Major,Yes
Yes,32.2,Maharashtra,4.9,12,Yes,Minor,Yes
Yes,33.7,Maharashtra,0.2,12,Yes,Minor,No
No,39.7,Maharashtra,4.4,12,Yes,Severe,Yes
Yes,35,Maharashtra,1.2,18,Yes,Minor,No
Yes,57.5,UP,5.9,12,No,Minor,No
Yes,57.5,UP,5.9,12,No,Minor,No
No,42.4,UP,3.6,12,No,Severe,No
No,25.3,UP,4.8,12,No,Major,No
No,37.5,UP,4.8,12,No,Minor,No
No,22.3,UP,4,12,No,Major,No
No,40.1,UP,5.2,12,No,Minor,No
No,40.3,UP,5.9,12,Yes,Severe,No
No,33.2,UP,4.8,12,No,Minor,No
No,33.2,UP,4.8,12,No,Minor,No
No,43.5,UP,2.5,12,No,Severe,No
No,43.6,UP,3.8,12,No,Severe,No
No,43.6,UP,3.8,12,No,Severe,No
Yes,33.7,UP,5.2,12,No,Severe,Yes
Yes,20.6,UP,4.2,12,No,Severe,Yes
Yes,34.8,UP,5.1,12,No,Minor,No
Yes,25,UP,5.3,12,No,Minor,No
No,39,UP,5.7,18,No,Severe,No
Yes,30.8,UP,5.1,12,No,Major,No
Yes,29.9,UP,4,12,No,Severe,Yes
Yes,37.4,UP,4.9,12,No,Severe,Yes
Yes,41.1,UP,4.2,12,No,Economic,No
Yes,26.6,UP,2.6,12,No,Minor,No
Yes,20.5,UP,3.2,12,Yes,Minor,Yes
Yes,51.1,UP,4.4,18,Yes,Severe,No
No,27.7,UP,5.3,18,No,Severe,No
No,25.7,UP,5.5,12,No,Severe,No
No,22,UP,5.3,12,Yes,Severe,No
Yes,26.9,UP,4.5,18,No,Severe,No
Yes,47.2,UP,5.1,12,No,Severe,No
Yes,31.5,UP,4.5,12,No,Severe,No
No,21,UP,5.2,18,No,Severe,No
No,24.2,UP,4.8,12,No,Minor,No
Yes,37.3,UP,3.5,12,No,Severe,No
Yes,22.6,UP,4.7,12,No,Minor,No
No,35,UP,5.7,12,No,Severe,No
Yes,22.4,UP,4.7,12,No,Minor,No
Yes,22,UP,5.1,12,No,Severe,No
Yes,51.2,UP,5.6,18,No,Minor,No
Yes,41,UP,4.7,12,No,Severe,No
Yes,27,UP,5.2,12,No,Minor,No
Yes,21.9,UP,5.5,12,No,Severe,No
No,21.5,UP,5.2,12,No,Severe,No
No,24.2,UP,5,12,No,Minor,No
Yes,51.1,UP,5.1,12,No,Minor,No
Yes,18.8,UP,4.9,12,No,Minor,No
Yes,32.5,UP,4.4,12,No,Severe,No
Yes,24.3,UP,6,12,No,Severe,No
Yes,50.5,UP,4.8,12,No,Severe,No
Yes,23.4,UP,5.2,12,No,Major,No
Yes,21.4,UP,5.6,18,No,Minor,No
Yes,32.4,UP,5.3,12,No,Severe,No
Yes,45,UP,3.5,12,No,Severe,No
Yes,46.7,UP,5.1,12,No,Severe,No
Yes,23.2,UP,5.2,18,No,Severe,No
Yes,41.3,UP,4.9,12,Yes,Severe,Yes
Yes,43.4,UP,4.7,18,Yes,Severe,No
No,29.1,UP,4.9,12,No,Severe,No
Yes,40.4,UP,4.2,12,No,Minor,No
Yes,39,UP,5.3,12,No,Minor,No
Yes,23.3,UP,5.2,12,No,Severe,No
Yes,23.3,UP,5.2,12,No,Severe,No
Yes,18.7,UP,5.2,12,No,Minor,Yes
Yes,32,UP,5.5,12,No,Severe,No
Yes,21.9,UP,5.3,12,No,Severe,No
Yes,28.3,UP,5.8,12,No,Severe,No
Yes,35.1,UP,5.1,14,No,Major,No
No,39.8,UP,4.5,12,Yes,Minor,Yes
No,29,UP,5.9,12,No,Severe,No
No,36.2,UP,5.1,12,Yes,Major,No
No,36.2,UP,5.1,12,Yes,Major,No
No,44.4,UP,4.9,12,No,Major,Yes
No,32.3,UP,4.9,12,No,Major,No
Yes,24.2,UP,4.7,12,Yes,Major,No
Yes,45.9,UP,4.5,12,No,Severe,No
Yes,45.9,UP,4.5,12,No,Severe,No
No,26.8,UP,4.9,12,No,Minor,Yes
Yes,56.8,UP,4.4,12,No,Severe,No
Yes,56.8,UP,4.4,12,No,Severe,No
Yes,48.9,UP,4.1,12,No,Minor,No
Yes,39.2,UP,5.2,12,No,Minor,No
Yes,39.2,UP,5.2,12,No,Minor,No
Yes,38.3,UP,4.9,12,No,Minor,Yes
No,41.3,UP,5.9,12,No,Severe,No
No,41.3,UP,5.9,12,No,Severe,No
Yes,39.1,UP,4.2,12,No,Severe,No
No,25.6,UP,3.7,12,No,Minor,Yes
No,22.4,UP,3.4,12,No,Severe,Yes
No,30.2,UP,5,12,Yes,Minor,No
Yes,53.5,UP,5.5,12,No,Minor,No
Yes,53.5,UP,5.5,12,No,Minor,No
Yes,43,UP,4.9,12,No,Minor,No
Yes,21.8,UP,4.7,12,No,Severe,No
Yes,21.8,UP,4.7,12,No,Severe,No
Yes,31,UP,5.1,12,No,Severe,No
Yes,31,UP,5.1,12,No,Severe,No
Yes,32.7,UP,5.1,12,Yes,Minor,No
Yes,32.7,UP,5.1,12,Yes,Minor,No
Yes,26.3,UP,4.3,12,No,Severe,No
Yes,26.3,UP,4.3,12,No,Severe,No
No,44,UP,5.4,12,No,Severe,No
No,44,UP,5.4,12,No,Severe,No
Yes,27.4,UP,5.2,12,No,Severe,Yes
Yes,37.2,UP,6,12,No,Severe,No
Yes,37.2,UP,6,12,No,Severe,No
Yes,32.2,UP,3,12,No,Minor,No
Yes,19.2,UP,1.8,12,No,Minor,No
Yes,19.5,UP,5.3,12,No,Minor,No
Yes,19.5,UP,5.3,12,No,Minor,No
Yes,46.1,UP,1.8,12,No,Economic,No
Yes,46.3,UP,4.4,12,No,Economic,No
Yes,46.3,UP,4.4,12,No,Economic,No
Yes,45.1,UP,2.4,12,No,Minor,No
Yes,45.4,UP,5.9,12,No,Minor,No
Yes,45.4,UP,5.9,12,No,Minor,No
Yes,48.5,UP,3.2,12,No,Severe,No
Yes,48.7,UP,5.7,12,No,Severe,No
Yes,48.7,UP,5.7,12,No,Severe,No
Yes,39.4,UP,4.2,12,No,Severe,No
Yes,20.7,UP,4.5,12,No,Severe,No
Yes,49.9,Bihar,4.2,18,No,Minor,No
Yes,46.7,Bihar,1.1,12,Yes,Minor,No
No,46.5,Bihar,2.7,13,Yes,Major,Yes
Yes,43.8,Bihar,2.9,1,Yes,Economic,No
Yes,41.2,Bihar,6,12,Yes,Severe,No
Yes,43.6,Bihar,5.4,16,Yes,Minor,Yes
Yes,38.7,Bihar,6,9,Yes,Minor,Yes
Yes,44.9,Bihar,0.8,1,Yes,Minor,Yes
Yes,44.7,Bihar,2.2,12,Yes,Economic,Yes
No,48.8,Bihar,5.3,10,Yes,Major,Yes
Yes,37,Bihar,2.7,3,Yes,Severe,No
Yes,35.5,Bihar,0.5,4,Yes,Severe,No
Yes,43.6,Bihar,1.1,18,Yes,Severe,Yes
Yes,35.2,Bihar,4.5,6,Yes,Minor,No
Yes,31.2,Bihar,5.3,9,Yes,Minor,No
Yes,32.8,Bihar,5,8,Yes,Severe,Yes
Yes,35.9,Bihar,5.7,10,Yes,Severe,No
Yes,28.8,Bihar,5.7,8,Yes,Minor,No
Yes,41.3,Bihar,4.7,3,Yes,Minor,Yes
Yes,45.8,Bihar,2,6,Yes,Minor,Yes
Yes,34.5,Bihar,4.5,6,Yes,Minor,No
No,38.4,Bihar,3.6,6,Yes,Minor,No
Yes,28.1,Bihar,0.8,18,Yes,Minor,Yes
Yes,28.9,Bihar,6,9,Yes,Minor,Yes
No,51.4,Bihar,4.2,6,Yes,Severe,Yes
No,26.4,Bihar,2.8,2,Yes,Minor,No
Yes,30.7,Bihar,5.9,12,Yes,Severe,Yes
Yes,33.7,Bihar,5.8,18,Yes,Severe,Yes
Yes,27.3,Bihar,0.8,11,Yes,Minor,No
Yes,23.7,Bihar,1.3,5,Yes,Major,Yes
Yes,31.5,Bihar,2.4,6,Yes,Minor,Yes
Yes,52.5,Bihar,5.6,11,No,Minor,Yes
Yes,38.1,Bihar,5.8,1,Yes,Minor,No
Yes,24.2,Bihar,3.4,11,No,Minor,Yes
No,28,Bihar,0.9,12,Yes,Minor,No
Yes,45,Bihar,3.9,2,Yes,Economic,No
Yes,49.3,Bihar,3.7,6,Yes,Minor,Yes
Yes,27.2,Bihar,5.1,6,Yes,Minor,No
Yes,23,Bihar,2.9,12,Yes,Major,No
No,26.4,Bihar,5.1,6,Yes,Minor,No
No,23,Bihar,4.1,8,No,Major,No
Yes,21.9,Bihar,1.7,11,Yes,Major,No
Yes,21.2,Bihar,1.9,12,Yes,Minor,No
No,40.3,Bihar,5,6,Yes,Severe,No
No,25.3,Bihar,6,6,Yes,Major,Yes
Yes,25.8,Bihar,5.7,14,Yes,Minor,Yes
Yes,23.6,Bihar,1.6,9,Yes,Minor,Yes
Yes,23.3,Bihar,0.3,8,Yes,Major,Yes
Yes,21.7,Bihar,1.7,18,Yes,Major,Yes
Yes,23,Bihar,1.1,18,Yes,Severe,No
Yes,24.3,Bihar,1.1,12,No,Major,No
No,30.8,Bihar,5.6,12,No,Major,Yes
Yes,19.9,Bihar,1.4,3,Yes,Severe,Yes
Yes,22.5,Bihar,6,12,No,Minor,No
Yes,20.2,Bihar,1.7,6,Yes,Severe,Yes
Yes,20.3,Bihar,5.2,12,Yes,Severe,No
Yes,42.1,Bihar,0.1,18,Yes,Severe,Yes
No,43.2,Bihar,5.8,12,Yes,Major,No
Yes,31,Bihar,4.9,5,No,Major,Yes
Yes,43.3,Bihar,5.6,9,No,Severe,No
Yes,28.4,Bihar,2.2,12,Yes,Minor,Yes
Yes,20.3,Bihar,1.4,12,Yes,Minor,Yes
No,21.2,Bihar,5.8,8,No,Major,No
No,25.7,Bihar,4,18,No,Minor,No
Yes,31.4,Bihar,1.9,12,Yes,Minor,Yes
Yes,30,Bihar,4.5,9,No,Severe,No
Yes,21.6,Bihar,4,8,Yes,Severe,Yes
Yes,20.7,Bihar,2.7,12,No,Minor,No
Yes,20,Bihar,3.1,6,No,Minor,No
No,22.8,Bihar,5.9,12,No,Minor,Yes
Yes,55,Bihar,5.8,8,No,Minor,No
Yes,31.1,Bihar,4.4,12,No,Minor,No
Yes,53.5,Bihar,4.7,9,No,Major,No
No,51.1,Bihar,2,2,No,Economic,No
Yes,18.4,Bihar,4,8,No,Minor,No
Yes,21.2,Bihar,1.3,1,No,Economic,No
Yes,20,Bihar,2,2,No,Minor,No
Yes,25.5,Bihar,1.5,12,No,Minor,No
No,34.1,Bihar,2.7,12,No,Severe,Yes
Yes,35.8,Bihar,2.7,15,No,Minor,No
No,28.3,Bihar,4,4,No,Severe,No
Yes,45,Bihar,5,6,No,Minor,Yes
Yes,47.5,Maharashtra,4.5,18,No,Minor,No
Yes,54.4,Maharashtra,4.7,18,No,Minor,No
Yes,41.7,Maharashtra,4,12,No,Severe,No
Yes,35.1,Maharashtra,3.4,12,No,Severe,No
Yes,39.9,Maharashtra,4,12,No,Minor,No
Yes,31.3,Maharashtra,4.9,12,No,Severe,No
Yes,23.6,Maharashtra,4.2,12,Yes,Minor,No
Yes,36.2,Maharashtra,4.8,12,No,Minor,No
Yes,30.7,Maharashtra,2.2,12,No,Severe,No
No,23.2,Maharashtra,2.9,12,No,Severe,No
Yes,35.6,Maharashtra,2.4,12,No,Minor,No
Yes,28.8,Maharashtra,3.2,12,No,Economic,Yes
No,51.8,Maharashtra,6,12,No,Minor,No
Yes,48.5,Maharashtra,3.7,12,No,Minor,Yes
No,44.8,Maharashtra,5.2,12,Yes,Major,No
Yes,26,Maharashtra,5.2,18,No,Minor,Yes
Yes,51.8,Maharashtra,6,18,No,Minor,No
Yes,25.9,Maharashtra,5.6,12,Yes,Minor,No
No,41.2,Maharashtra,6,12,Yes,Severe,No
Yes,34.2,Maharashtra,6,12,Yes,Severe,No
Yes,43.3,Maharashtra,5.8,11,No,Minor,No
Yes,19.6,Maharashtra,5.5,12,No,Minor,No
Yes,48.4,Maharashtra,6,12,Yes,Minor,Yes
Yes,39.8,Maharashtra,5.3,12,No,Severe,No
Yes,45.1,Maharashtra,5.2,12,No,Economic,No
Yes,63.4,Maharashtra,4,6,Yes,Minor,No
Yes,25.3,Maharashtra,6,12,No,Economic,No
No,23.2,Maharashtra,5.3,9,No,Minor,No
Yes,36.7,Maharashtra,5.8,12,No,Minor,No
No,20.9,Maharashtra,5.3,12,Yes,Minor,No
Yes,28.9,Maharashtra,5.8,12,No,Minor,No
No,34.7,Maharashtra,3.9,6,No,Severe,No
Yes,22.6,Maharashtra,5.5,12,Yes,Severe,No
Yes,20.7,Maharashtra,6,12,Yes,Minor,No
Yes,19.4,Maharashtra,3.8,4,No,Minor,No
No,33.3,Maharashtra,5.1,13,No,Minor,Yes
Yes,45,Maharashtra,0.7,13,No,Major,Yes
Yes,31,Maharashtra,4.9,12,No,Severe,No
Yes,54.9,Maharashtra,3.1,12,No,Minor,No
Yes,25.7,Maharashtra,4.2,8,No,Minor,No
Yes,37.8,Maharashtra,4.6,18,No,Economic,No
Yes,19.1,Maharashtra,4.5,18,No,Severe,No
Yes,61.4,Maharashtra,4.3,18,No,Economic,No
Yes,25.1,Maharashtra,4,18,No,Major,No
Yes,21,Maharashtra,4.5,18,No,Severe,No
Yes,24.2,Maharashtra,5.4,18,No,Economic,No
Yes,59.4,Maharashtra,3.1,12,No,Economic,No
Yes,56.4,Maharashtra,3,12,No,Economic,No
Yes,53,Maharashtra,3,18,No,Economic,No
Yes,54.8,Maharashtra,2.9,9,No,Economic,No
No,52.1,Maharashtra,4.8,18,No,Economic,No
No,45,Maharashtra,2.9,12,No,Economic,No
Yes,47.7,Maharashtra,3.1,18,No,Economic,No
No,42,Maharashtra,2.9,12,No,Economic,No
Yes,20.5,Maharashtra,3,12,No,Minor,No
Yes,19.4,Maharashtra,4.5,18,Yes,Minor,No
Yes,33.9,Maharashtra,4.4,18,No,Economic,No
Yes,26.5,Maharashtra,3.7,18,No,Economic,No
Yes,21.9,Maharashtra,3,12,No,Severe,No
Yes,58.5,Maharashtra,5.1,15,No,Major,No
Yes,53.9,Maharashtra,4.2,18,No,Economic,No
No,53,Maharashtra,2.7,12,No,Economic,No
Yes,51.8,Maharashtra,4.6,18,No,Economic,No
Yes,43.5,Maharashtra,3,12,No,Severe,No
Yes,26.9,Maharashtra,3,12,No,Economic,No
Yes,42.6,Maharashtra,4.6,18,No,Economic,No
Yes,25.8,Maharashtra,4.4,18,No,Minor,No
Yes,24,Maharashtra,3,18,No,Economic,No
Yes,50.9,Maharashtra,4.4,18,No,Economic,No
No,28.8,Maharashtra,4.5,18,No,Economic,No
No,35.6,Maharashtra,4.4,18,No,Economic,No
Yes,44.6,Maharashtra,4.4,18,No,Economic,No
No,22.5,Panjab,4.6,15,Yes,Minor,No
Yes,36.1,Panjab,4.9,14,Yes,Minor,No
Yes,44.9,Panjab,5.3,12,Yes,Minor,No
No,31.2,Panjab,2.9,12,No,Severe,No
No,30.3,Panjab,4.4,15,Yes,Minor,No
Yes,43,Panjab,3,12,No,Minor,No
Yes,44,Panjab,3.7,14,Yes,Minor,No
No,36.2,Panjab,3.1,13,Yes,Minor,No
Yes,25.6,Panjab,3.5,12,No,Minor,No
Yes,33.2,Panjab,3.8,15,Yes,Minor,No
Yes,34.9,Panjab,4.5,15,No,Major,No
Yes,43.8,Panjab,5.5,18,No,Major,No
Yes,36.1,Panjab,4.4,15,Yes,Minor,No
Yes,55.7,Panjab,4.6,15,Yes,Minor,No
No,22,Panjab,5.9,18,Yes,Major,No
Yes,20.2,Panjab,3.2,14,Yes,Minor,No
Yes,24.2,Panjab,5.2,17,Yes,Minor,No
Yes,19.7,Panjab,2.2,13,Yes,Minor,No
Yes,46.3,Panjab,5.9,17,No,Severe,No
Yes,29.6,Panjab,5.2,17,Yes,Severe,No
No,30,Panjab,5.5,16,Yes,Major,No
Yes,34.6,Panjab,5.1,15,Yes,Major,No
Yes,45.5,Panjab,3.8,16,Yes,Economic,No
Yes,27.5,Panjab,4.8,16,No,Economic,No
Yes,41.2,Panjab,3,13,Yes,Minor,No
Yes,23.2,Panjab,5.3,13,Yes,Minor,No
Yes,36.3,Panjab,5.5,18,No,Severe,No
Yes,44.3,Panjab,4.4,12,Yes,Major,No
Yes,53.8,Panjab,3.6,14,Yes,Minor,No
No,42.3,Panjab,3.3,12,Yes,Major,No
Yes,47.8,Panjab,3.3,13,Yes,Major,No
Yes,23.1,Panjab,4.4,16,Yes,Economic,No
Yes,42.5,Panjab,5.7,18,Yes,Economic,No
Yes,19.6,Panjab,4.4,13,Yes,Minor,No
Yes,20.8,Panjab,3.4,13,Yes,Major,No
Yes,32.2,Panjab,3.1,13,Yes,Major,No
Yes,25.7,Panjab,3.1,13,Yes,Severe,No
Yes,31.7,Panjab,3,13,Yes,Economic,No
No,39.7,Panjab,5.5,13,Yes,Minor,No
Yes,34.4,Panjab,5.4,17,Yes,Major,No
No,31.8,Panjab,4,13,Yes,Minor,No
Yes,36.7,Panjab,3.4,14,Yes,Severe,No
No,39.5,Panjab,5.6,15,No,Minor,No
Yes,20.7,Panjab,3.9,15,Yes,Minor,No
Yes,29.2,Panjab,3,13,Yes,Economic,No
Yes,46,Panjab,3.2,12,Yes,Economic,No
Yes,38,Panjab,3.7,15,No,Major,No
Yes,38.1,Panjab,3,12,Yes,Severe,No
Yes,40.8,Panjab,3,12,No,Economic,No
Yes,33.8,Panjab,4.1,15,Yes,Major,No
Yes,52.6,Panjab,3.2,12,Yes,Major,No
No,38.6,Panjab,5.3,14,Yes,Economic,No
Yes,22.1,Panjab,3.8,15,No,Minor,No
No,46,Panjab,4.5,15,Yes,Minor,No
Yes,36.5,Panjab,4.7,13,No,Minor,No
No,46.9,Panjab,4.1,16,No,Major,No
No,25.3,Panjab,3.2,12,Yes,Minor,No
Yes,28.7,Panjab,2.9,12,No,Economic,No
Yes,24.5,Panjab,4.3,16,No,Minor,No
No,40.9,Panjab,3.2,12,Yes,Major,No
Yes,27.1,Panjab,5.2,13,Yes,Minor,No
No,36.6,Panjab,3.7,15,Yes,Minor,No
Yes,28.5,Panjab,4.5,18,Yes,Economic,Yes
Yes,43.5,Panjab,3.7,15,Yes,Minor,No
No,24.7,Panjab,4.8,15,No,Minor,No
Yes,18.5,Panjab,3,13,Yes,Minor,No
Yes,32.9,Panjab,3,12,Yes,Minor,No
Yes,36.5,Panjab,3,12,Yes,Major,No
Yes,45.6,Panjab,4.5,16,Yes,Minor,No
Yes,41.9,Panjab,4.4,15,No,Minor,No
No,35,Panjab,4.6,14,Yes,Minor,No
Yes,19.6,Panjab,4.1,13,Yes,Economic,No
No,28.7,Panjab,5.4,18,No,Major,No
Yes,33.4,Panjab,3,12,Yes,Severe,No
Yes,38.4,Panjab,6,14,Yes,Major,No
Yes,20.4,Panjab,2,12,Yes,Severe,No
No,43.4,Panjab,4.1,12,Yes,Major,No
Yes,34.5,Panjab,4.2,12,Yes,Minor,No
Yes,51.7,Panjab,4.2,12,Yes,Minor,No
Yes,23.7,Panjab,3.1,14,Yes,Economic,No
No,51.1,Panjab,3.1,13,Yes,Economic,No
Yes,26.5,Panjab,5.9,18,No,Minor,No
Yes,46.4,Panjab,4,13,Yes,Economic,No
Yes,47.5,Panjab,5.4,18,No,Minor,No
Yes,27.9,Panjab,4.3,14,Yes,Minor,No
Yes,23.8,Panjab,3.7,15,Yes,Minor,No
No,50.2,Panjab,6,18,No,Severe,No
Yes,34.3,Panjab,3,13,Yes,Major,No
Yes,40.1,Panjab,3.7,14,Yes,Minor,No
Yes,44.9,Panjab,3,12,Yes,Major,No
Yes,32.9,Panjab,5,16,Yes,Economic,No
Yes,21.4,Panjab,3.1,14,Yes,Minor,No
Yes,45.4,Panjab,3.6,15,Yes,Economic,No
No,21.7,Panjab,4.1,12,No,Major,No
Yes,48.8,Panjab,4.6,16,Yes,Major,No
Yes,35.4,Panjab,3,13,Yes,Major,No
Yes,65.1,Panjab,5.2,18,No,Minor,No
No,37.5,Panjab,3.3,12,No,Severe,No
Yes,59.4,Panjab,3.6,14,Yes,Economic,No
Yes,33.5,Panjab,3.9,14,No,Major,No
No,39.8,Panjab,3,13,Yes,Minor,No
Yes,23.6,Panjab,4.9,16,No,Minor,No
Yes,26.8,Panjab,3.8,15,Yes,Minor,No
Yes,46.2,Panjab,5.6,18,Yes,Minor,No
Yes,19.7,Panjab,3,14,Yes,Minor,No
Yes,19.6,Panjab,3,13,Yes,Minor,No
No,39.2,Panjab,3,13,Yes,Major,No
Yes,20.6,Panjab,4.8,15,Yes,Severe,No
Yes,32.1,Panjab,3.8,14,No,Severe,No
Yes,67,Panjab,4.6,14,Yes,Minor,No
Yes,22,Panjab,3.8,14,Yes,Economic,No
Yes,41.6,Panjab,5.1,17,Yes,Major,No
Yes,47,Panjab,5.6,18,No,Minor,No
No,49,Panjab,4.9,15,Yes,Major,No
No,35.3,Panjab,3,13,Yes,Economic,No
Yes,50.1,Panjab,3.1,12,Yes,Economic,No
Yes,32.1,Panjab,3,12,Yes,Minor,No
Yes,42.5,Panjab,3,12,Yes,Minor,No
Yes,25,Panjab,3.6,15,Yes,Minor,No
No,42.8,Panjab,5.9,17,Yes,Major,No
Yes,21.1,Panjab,4.1,13,Yes,Minor,No
Yes,44.3,Panjab,5.9,18,No,Severe,No
Yes,30.8,Panjab,4.3,13,Yes,Minor,No
Yes,21.9,Panjab,3.9,14,Yes,Major,No
Yes,29.5,Panjab,4.4,15,Yes,Minor,No
Yes,24.5,Panjab,4,14,Yes,Economic,No
Yes,24.9,Panjab,3,12,Yes,Major,No
Yes,27,Panjab,5.1,17,Yes,Minor,No
Yes,19.4,Panjab,3.7,13,Yes,Minor,No
No,37.5,Panjab,3.2,14,Yes,Economic,No
Yes,25.2,Panjab,4.7,13,Yes,Economic,No
Yes,51.3,Panjab,4,15,Yes,Major,No
Yes,54.4,Panjab,5.1,18,No,Economic,No
No,44.1,Panjab,5.5,15,Yes,Severe,No
Yes,31,Panjab,3,12,No,Minor,No
Yes,29.2,Panjab,3.2,14,Yes,Minor,No
Yes,43.4,Panjab,2,12,No,Minor,No
Yes,42.5,Panjab,4.2,15,No,Minor,No
No,32.8,Panjab,4.6,15,No,Minor,No
Yes,22.9,Panjab,5.1,16,Yes,Economic,No
Yes,31.8,Panjab,4.2,15,Yes,Minor,No
Yes,29.7,Panjab,5.3,13,Yes,Minor,No
Yes,18.7,Panjab,5.5,17,Yes,Severe,No
Yes,18.8,Panjab,4.7,13,Yes,Major,No
Yes,27.8,Panjab,4.1,13,Yes,Economic,No
Yes,32.9,Panjab,4.1,15,Yes,Minor,No
Yes,23.4,Panjab,4.4,14,Yes,Minor,No
No,35.8,Panjab,3.9,12,No,Severe,No
Yes,19.1,Panjab,5.1,18,Yes,Major,No
Yes,20.6,Panjab,4.3,13,Yes,Major,No
Yes,51,Panjab,3,13,No,Minor,No
Yes,34.9,Panjab,5.1,13,Yes,Major,No
No,48.7,Panjab,4,15,No,Minor,No
Yes,24.4,Panjab,4.3,15,Yes,Minor,No
Yes,41.4,Panjab,3.1,13,No,Major,No
Yes,36.8,Panjab,3.3,13,No,Major,No
Yes,27.8,Panjab,3.3,12,No,Severe,No
Yes,28.1,Panjab,3,12,Yes,Economic,No
Yes,23,Panjab,5.1,18,Yes,Minor,No
Yes,27.2,Panjab,4.7,14,Yes,Economic,No
Yes,47.8,Panjab,5.3,18,Yes,Major,No
Yes,49,Panjab,4.9,16,No,Minor,No
Yes,25.6,Panjab,3.6,15,Yes,Minor,No
Yes,29.9,Panjab,5.8,18,Yes,Major,No
Yes,20,Panjab,4.1,13,Yes,Minor,No
Yes,25.6,Panjab,3,13,Yes,Economic,No
Yes,34.3,Panjab,4.6,13,Yes,Economic,No
Yes,25,Panjab,4.3,15,Yes,Major,No
Yes,32.9,Panjab,3,12,No,Severe,No
Yes,23.7,Panjab,4.5,14,Yes,Minor,No
Yes,28.5,Panjab,4.2,13,Yes,Minor,No
No,40.1,Panjab,4.8,14,Yes,Minor,No
Yes,40.4,Panjab,2.9,12,No,Minor,No
