sex,age,edu,unempdur,income,marital,sport,smoke,alcabuse,workab,englang,bmi
FEMALE,52,POST-SECONDARY OR HIGHER,,2000,DIVORCED,NO,NO,NO,NO,NONE,30.34607438
FEMALE,39,PRIMARY/NO EDUCATION,0,,MARRIED,YES,YES,YES,NO,NONE,28.04037814
MALE,57,VOCATIONAL/GRAMMAR,,,MARRIED,YES,NO,NO,NO,NONE,25.5036157
MALE,70,SECONDARY,24,1000,MARRIED,YES,NO,NO,NO,NONE,21.79930796
FEMALE,59,VOCATIONAL/GRAMMAR,21,3000,MARRIED,NO,NO,NO,NO,NONE,25.95155709
MALE,19,VOCATIONAL/GRAMMAR,,660,SINGLE,NO,NO,NO,NO,ACTIVE,22.06880942
FEMALE,29,SECONDARY,,2400,SINGLE,NO,NO,NO,NO,PASSIVE,20.47826661
MALE,53,SECONDARY,0,4500,MARRIED,YES,YES,NO,NO,NONE,24.96800974
MALE,74,SECONDARY,0,1500,MARRIED,YES,NO,NO,NO,NONE,34.66666667
MALE,59,PRIMARY/NO EDUCATION,24,1900,MARRIED,YES,YES,NO,NO,NONE,26.82742078
MALE,49,POST-SECONDARY OR HIGHER,,2500,MARRIED,YES,NO,NO,NO,NONE,36.22750875
MALE,60,PRIMARY/NO EDUCATION,0,1900,MARRIED,YES,YES,NO,NO,NONE,25.66115203
FEMALE,65,VOCATIONAL/GRAMMAR,24,4200,MARRIED,YES,NO,NO,NO,NONE,34.60207612
FEMALE,38,VOCATIONAL/GRAMMAR,24,,MARRIED,YES,,NO,NO,NONE,46.875
FEMALE,58,PRIMARY/NO EDUCATION,0,1111,SINGLE,YES,NO,NO,NO,NONE,26.85185185
FEMALE,53,POST-SECONDARY OR HIGHER,0,3100,MARRIED,NO,NO,NO,NO,PASSIVE,24.48979592
MALE,59,SECONDARY,0,630,MARRIED,YES,NO,NO,NO,NONE,26.34649403
MALE,76,SECONDARY,0,,WIDOWED,YES,NO,NO,NO,NONE,28.73192149
FEMALE,57,VOCATIONAL/GRAMMAR,,1200,DIVORCED,YES,YES,NO,NO,NONE,27.34375
MALE,36,VOCATIONAL/GRAMMAR,0,1500,SINGLE,YES,NO,NO,YES,NONE,25.35154137
FEMALE,39,VOCATIONAL/GRAMMAR,24,,MARRIED,YES,NO,NO,NO,NONE,31.25
FEMALE,63,SECONDARY,24,,MARRIED,NO,NO,NO,NO,NONE,30.11099051
FEMALE,52,VOCATIONAL/GRAMMAR,6,270,MARRIED,YES,NO,NO,NO,NONE,20.76124567
FEMALE,55,VOCATIONAL/GRAMMAR,0,,MARRIED,YES,NO,YES,NO,NONE,34.68609088
FEMALE,24,SECONDARY,0,,SINGLE,YES,NO,NO,,ACTIVE,21.93634741
FEMALE,76,SECONDARY,0,1200,MARRIED,YES,NO,NO,NO,NONE,37.18024985
MALE,63,VOCATIONAL/GRAMMAR,24,1700,MARRIED,YES,NO,NO,NO,NONE,34.60207612
FEMALE,50,SECONDARY,,,DIVORCED,YES,NO,NO,NO,NONE,23.03004535
FEMALE,35,SECONDARY,0,,MARRIED,NO,YES,NO,,PASSIVE,25.71166208
MALE,27,SECONDARY,,1500,SINGLE,YES,NO,NO,NO,PASSIVE,20.52892163
MALE,41,VOCATIONAL/GRAMMAR,,800,MARRIED,YES,NO,NO,NO,NONE,24.69135802
MALE,19,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,NO,PASSIVE,24.30724356
MALE,31,PRIMARY/NO EDUCATION,0,,MARRIED,YES,YES,NO,NO,NONE,22.16066482
MALE,45,VOCATIONAL/GRAMMAR,0,1600,MARRIED,NO,NO,NO,NO,NONE,29.03673779
FEMALE,73,PRIMARY/NO EDUCATION,24,,MARRIED,YES,NO,NO,NO,NONE,27.77777778
MALE,60,PRIMARY/NO EDUCATION,0,1000,MARRIED,YES,NO,NO,NO,NONE,22.5981405
FEMALE,28,SECONDARY,0,2500,SINGLE,NO,NO,NO,NO,NONE,20.06920415
FEMALE,56,VOCATIONAL/GRAMMAR,,1000,MARRIED,YES,NO,NO,NO,NONE,30.85960738
FEMALE,66,SECONDARY,0,1500,MARRIED,YES,NO,NO,NO,NONE,27.6816609
FEMALE,57,POST-SECONDARY OR HIGHER,0,1300,MARRIED,NO,NO,NO,NO,PASSIVE,25.71166208
FEMALE,34,SECONDARY,0,,MARRIED,YES,NO,NO,NO,PASSIVE,32.66076354
FEMALE,40,SECONDARY,0,,MARRIED,YES,NO,NO,YES,NONE,23.03004535
FEMALE,51,VOCATIONAL/GRAMMAR,0,1000,MARRIED,YES,NO,NO,NO,NONE,23.24380165
FEMALE,18,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,,ACTIVE,18.49649888
FEMALE,49,VOCATIONAL/GRAMMAR,24,1280,SINGLE,YES,YES,NO,NO,NONE,26.39797739
FEMALE,46,VOCATIONAL/GRAMMAR,,520,MARRIED,NO,NO,NO,NO,NONE,22.03856749
MALE,79,PRIMARY/NO EDUCATION,24,940,MARRIED,YES,NO,NO,,NONE,36.14744352
FEMALE,48,VOCATIONAL/GRAMMAR,12,,MARRIED,YES,YES,NO,NO,NONE,20.56932966
FEMALE,28,POST-SECONDARY OR HIGHER,,3200,SINGLE,NO,YES,NO,NO,NONE,18.42403628
FEMALE,31,SECONDARY,,,MARRIED,YES,YES,NO,NO,PASSIVE,17.66929652
MALE,38,VOCATIONAL/GRAMMAR,0,2200,MARRIED,NO,YES,YES,NO,NONE,22.14532872
FEMALE,26,SECONDARY,6,850,SINGLE,YES,YES,NO,NO,NONE,
FEMALE,29,SECONDARY,4,,MARRIED,YES,NO,NO,NO,PASSIVE,20.07733492
MALE,67,VOCATIONAL/GRAMMAR,24,1300,MARRIED,YES,NO,NO,NO,NONE,32.71861987
MALE,30,VOCATIONAL/GRAMMAR,0,1500,SINGLE,YES,NO,NO,NO,NONE,25.71166208
FEMALE,61,PRIMARY/NO EDUCATION,0,700,MARRIED,YES,YES,NO,NO,NONE,27.34375
FEMALE,18,VOCATIONAL/GRAMMAR,0,,SINGLE,NO,NO,NO,NO,ACTIVE,24.67550027
MALE,26,POST-SECONDARY OR HIGHER,,1900,SINGLE,NO,NO,NO,NO,ACTIVE,21.13271344
FEMALE,72,PRIMARY/NO EDUCATION,,,MARRIED,YES,NO,NO,NO,NONE,20.3125
MALE,28,SECONDARY,,2500,SINGLE,NO,NO,YES,NO,PASSIVE,25.35925613
FEMALE,72,PRIMARY/NO EDUCATION,,1115,WIDOWED,YES,NO,NO,NO,NONE,31.25
MALE,57,VOCATIONAL/GRAMMAR,0,860,MARRIED,YES,NO,NO,NO,NONE,36.73094582
FEMALE,45,POST-SECONDARY OR HIGHER,0,2600,DIVORCED,YES,YES,NO,NO,ACTIVE,21.8299522
FEMALE,52,VOCATIONAL/GRAMMAR,0,270,MARRIED,NO,YES,NO,NO,NONE,24.21875
FEMALE,16,PRIMARY/NO EDUCATION,,,SINGLE,NO,NO,NO,,NONE,22.03856749
FEMALE,65,PRIMARY/NO EDUCATION,24,909,MARRIED,YES,NO,NO,NO,NONE,32.38835543
MALE,60,SECONDARY,0,7500,MARRIED,NO,NO,NO,YES,NONE,35.15625
FEMALE,40,VOCATIONAL/GRAMMAR,21,,MARRIED,YES,NO,NO,NO,NONE,26.83518006
MALE,55,POST-SECONDARY OR HIGHER,0,,MARRIED,NO,NO,NO,NO,NONE,29.13631634
FEMALE,65,SECONDARY,24,1500,WIDOWED,NO,NO,NO,NO,NONE,30.84441596
FEMALE,50,POST-SECONDARY OR HIGHER,,1800,MARRIED,NO,YES,NO,NO,NONE,24.21875
FEMALE,43,POST-SECONDARY OR HIGHER,,2900,MARRIED,NO,NO,NO,NO,NONE,23.87511478
FEMALE,58,PRIMARY/NO EDUCATION,,1111,MARRIED,NO,NO,NO,NO,NONE,31.99217133
MALE,30,POST-SECONDARY OR HIGHER,6,2000,MARRIED,NO,NO,NO,NO,NONE,26.82742078
MALE,58,VOCATIONAL/GRAMMAR,24,760,WIDOWED,NO,NO,NO,,NONE,27.14158239
MALE,27,POST-SECONDARY OR HIGHER,0,1500,SINGLE,NO,NO,NO,NO,ACTIVE,23.12406059
FEMALE,64,SECONDARY,0,1500,MARRIED,YES,NO,NO,NO,NONE,42.44897959
MALE,56,VOCATIONAL/GRAMMAR,24,,MARRIED,YES,YES,NO,NO,NONE,27.88518739
FEMALE,47,VOCATIONAL/GRAMMAR,0,520,WIDOWED,NO,NO,NO,NO,NONE,32.04614645
FEMALE,18,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,,ACTIVE,21.1552942
MALE,58,SECONDARY,0,1300,MARRIED,YES,YES,NO,NO,PASSIVE,30.32334259
FEMALE,63,SECONDARY,24,1400,WIDOWED,YES,YES,NO,NO,NONE,20.82999519
MALE,52,POST-SECONDARY OR HIGHER,0,2800,MARRIED,NO,NO,NO,NO,PASSIVE,26.44628099
FEMALE,30,POST-SECONDARY OR HIGHER,0,1200,MARRIED,YES,NO,YES,NO,PASSIVE,28.68514468
FEMALE,67,SECONDARY,0,1500,MARRIED,YES,NO,NO,NO,NONE,32.32323232
FEMALE,54,SECONDARY,,1000,MARRIED,NO,NO,NO,NO,NONE,28.65013774
MALE,45,VOCATIONAL/GRAMMAR,0,300,MARRIED,YES,YES,YES,NO,NONE,19.53125
MALE,18,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,NO,PASSIVE,22.49134948
MALE,64,SECONDARY,0,1000,DIVORCED,YES,NO,NO,NO,NONE,33.73250126
FEMALE,40,SECONDARY,0,,MARRIED,YES,NO,NO,NO,PASSIVE,25.71166208
FEMALE,25,SECONDARY,0,1100,MARRIED,YES,NO,NO,NO,NONE,
MALE,61,VOCATIONAL/GRAMMAR,,1150,MARRIED,YES,NO,NO,NO,NONE,36.43664485
FEMALE,67,SECONDARY,0,1900,MARRIED,NO,NO,NO,NO,NONE,18.8267935
FEMALE,78,PRIMARY/NO EDUCATION,,1580,WIDOWED,YES,NO,NO,NO,NONE,24.4646016
FEMALE,37,POST-SECONDARY OR HIGHER,0,5000,MARRIED,YES,YES,NO,NO,NONE,23.71184463
FEMALE,33,VOCATIONAL/GRAMMAR,0,900,SINGLE,YES,YES,NO,NO,NONE,27.05515088
FEMALE,28,SECONDARY,6,1000,DE FACTO SEPARATED,NO,YES,NO,NO,PASSIVE,
MALE,34,POST-SECONDARY OR HIGHER,0,7500,MARRIED,NO,NO,NO,NO,ACTIVE,26.7299275
FEMALE,83,PRIMARY/NO EDUCATION,0,850,WIDOWED,YES,NO,NO,NO,NONE,35.15625
FEMALE,51,VOCATIONAL/GRAMMAR,,1000,MARRIED,YES,YES,NO,NO,NONE,19.72103697
MALE,25,PRIMARY/NO EDUCATION,4,1000,SINGLE,YES,YES,NO,NO,NONE,28.01022373
MALE,62,SECONDARY,0,1800,MARRIED,YES,NO,NO,NO,PASSIVE,22.65625
MALE,74,PRIMARY/NO EDUCATION,0,968,WIDOWED,YES,NO,NO,NO,NONE,24.22145329
FEMALE,20,POST-SECONDARY OR HIGHER,,,SINGLE,YES,NO,NO,,ACTIVE,22.32142857
MALE,39,SECONDARY,0,,MARRIED,YES,NO,NO,NO,PASSIVE,32.82413837
MALE,21,SECONDARY,0,,SINGLE,YES,YES,NO,,ACTIVE,22.20333872
MALE,48,VOCATIONAL/GRAMMAR,0,2000,MARRIED,YES,NO,NO,NO,NONE,29.93544357
FEMALE,52,VOCATIONAL/GRAMMAR,,588,DIVORCED,YES,NO,YES,NO,NONE,25.9043101
FEMALE,47,VOCATIONAL/GRAMMAR,0,1000,DIVORCED,YES,YES,NO,NO,NONE,21.63331531
MALE,23,SECONDARY,,1200,SINGLE,NO,NO,YES,NO,ACTIVE,22.16066482
FEMALE,69,VOCATIONAL/GRAMMAR,,1000,WIDOWED,YES,NO,NO,NO,PASSIVE,23.03004535
FEMALE,26,POST-SECONDARY OR HIGHER,0,2500,SINGLE,NO,NO,NO,NO,ACTIVE,22.67995241
MALE,27,VOCATIONAL/GRAMMAR,0,1276,SINGLE,NO,YES,YES,NO,NONE,24.69135802
FEMALE,63,SECONDARY,24,1600,MARRIED,YES,YES,NO,NO,NONE,26.82742078
MALE,30,VOCATIONAL/GRAMMAR,0,1500,MARRIED,YES,NO,NO,NO,NONE,26.12244898
FEMALE,59,VOCATIONAL/GRAMMAR,24,1290,SINGLE,YES,NO,NO,NO,NONE,21.78649237
FEMALE,64,PRIMARY/NO EDUCATION,0,800,MARRIED,YES,NO,NO,NO,ACTIVE,24.97398543
FEMALE,55,SECONDARY,,2000,MARRIED,YES,YES,NO,NO,NONE,29.296875
MALE,78,PRIMARY/NO EDUCATION,,1200,MARRIED,YES,NO,NO,NO,NONE,37.18024985
FEMALE,41,VOCATIONAL/GRAMMAR,18,,MARRIED,YES,YES,NO,NO,NONE,
FEMALE,40,VOCATIONAL/GRAMMAR,0,600,MARRIED,YES,NO,NO,NO,NONE,25.63691716
FEMALE,52,PRIMARY/NO EDUCATION,2,400,MARRIED,YES,YES,NO,NO,NONE,27.6816609
FEMALE,45,VOCATIONAL/GRAMMAR,0,1800,MARRIED,NO,YES,NO,NO,NONE,22.65625
FEMALE,47,SECONDARY,0,2000,MARRIED,YES,YES,NO,NO,NONE,25.71166208
MALE,75,PRIMARY/NO EDUCATION,24,1400,MARRIED,YES,NO,NO,NO,NONE,28.40550436
FEMALE,43,POST-SECONDARY OR HIGHER,0,2500,DIVORCED,YES,NO,NO,NO,ACTIVE,20.61925365
FEMALE,75,PRIMARY/NO EDUCATION,0,1000,MARRIED,YES,NO,NO,NO,NONE,26.0261749
MALE,65,VOCATIONAL/GRAMMAR,,1300,MARRIED,NO,NO,NO,NO,NONE,28.30385016
FEMALE,85,PRIMARY/NO EDUCATION,,980,WIDOWED,YES,YES,NO,NO,NONE,29.296875
FEMALE,37,SECONDARY,0,2000,MARRIED,YES,NO,NO,NO,NONE,27.33564014
MALE,21,SECONDARY,,260,SINGLE,NO,NO,NO,NO,ACTIVE,23.54788069
FEMALE,34,VOCATIONAL/GRAMMAR,0,1300,MARRIED,YES,NO,NO,NO,NONE,22.30814991
MALE,45,VOCATIONAL/GRAMMAR,,,MARRIED,YES,NO,NO,NO,NONE,36.41329085
MALE,58,VOCATIONAL/GRAMMAR,,700,MARRIED,YES,NO,NO,NO,NONE,30.757401
FEMALE,90,POST-SECONDARY OR HIGHER,,1600,WIDOWED,NO,NO,NO,NO,NONE,21.875
FEMALE,62,POST-SECONDARY OR HIGHER,,1690,WIDOWED,NO,NO,NO,NO,PASSIVE,27.6816609
MALE,39,VOCATIONAL/GRAMMAR,,,MARRIED,YES,NO,NO,NO,NONE,27.77777778
FEMALE,23,SECONDARY,,1000,SINGLE,YES,NO,NO,NO,PASSIVE,21.23057202
FEMALE,38,POST-SECONDARY OR HIGHER,,2800,MARRIED,NO,NO,NO,NO,ACTIVE,28.04037814
MALE,49,VOCATIONAL/GRAMMAR,0,,MARRIED,NO,YES,NO,NO,NONE,24.61810377
FEMALE,89,PRIMARY/NO EDUCATION,24,1087,WIDOWED,YES,NO,NO,NO,NONE,25.72103221
MALE,47,SECONDARY,12,1500,MARRIED,YES,YES,NO,NO,NONE,23.93898977
FEMALE,26,SECONDARY,20,300,SINGLE,NO,NO,NO,NO,ACTIVE,17.26354454
FEMALE,47,POST-SECONDARY OR HIGHER,0,2400,MARRIED,YES,NO,NO,NO,NONE,27.81588173
MALE,52,VOCATIONAL/GRAMMAR,,200,MARRIED,YES,YES,NO,NO,NONE,31.02040816
FEMALE,28,POST-SECONDARY OR HIGHER,,2000,MARRIED,NO,NO,NO,NO,ACTIVE,22.47120876
FEMALE,79,PRIMARY/NO EDUCATION,,650,WIDOWED,YES,NO,NO,NO,NONE,26.6727633
MALE,42,SECONDARY,0,1600,MARRIED,NO,NO,NO,NO,NONE,24.56931437
MALE,68,SECONDARY,0,1000,MARRIED,NO,NO,NO,NO,NONE,20.54988662
FEMALE,19,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,NO,ACTIVE,18.06972789
FEMALE,30,POST-SECONDARY OR HIGHER,,3000,SINGLE,NO,NO,NO,NO,NONE,21.0498179
MALE,75,PRIMARY/NO EDUCATION,0,1500,MARRIED,YES,NO,NO,NO,NONE,30.99173554
FEMALE,56,SECONDARY,0,3000,MARRIED,YES,YES,NO,NO,NONE,22.30814991
FEMALE,76,PRIMARY/NO EDUCATION,,953,WIDOWED,YES,NO,NO,NO,NONE,26.03749399
FEMALE,41,POST-SECONDARY OR HIGHER,,1100,DE FACTO SEPARATED,NO,NO,NO,NO,NONE,20.76124567
MALE,49,VOCATIONAL/GRAMMAR,4,600,MARRIED,YES,YES,NO,NO,NONE,27.71768524
FEMALE,86,POST-SECONDARY OR HIGHER,24,1500,MARRIED,YES,NO,NO,NO,NONE,23.62444749
MALE,52,VOCATIONAL/GRAMMAR,0,1400,MARRIED,YES,NO,NO,NO,NONE,25.25951557
FEMALE,64,SECONDARY,,1260,MARRIED,NO,YES,NO,,NONE,23.87511478
MALE,58,POST-SECONDARY OR HIGHER,0,5000,MARRIED,NO,YES,NO,NO,NONE,24.69135802
FEMALE,49,VOCATIONAL/GRAMMAR,15,,MARRIED,NO,NO,NO,NO,NONE,30.0432623
MALE,59,VOCATIONAL/GRAMMAR,24,600,MARRIED,YES,YES,NO,NO,NONE,22.30935641
MALE,54,VOCATIONAL/GRAMMAR,0,3000,MARRIED,YES,NO,NO,NO,NONE,29.06574394
MALE,59,POST-SECONDARY OR HIGHER,0,2300,MARRIED,NO,NO,YES,NO,NONE,32.28305785
FEMALE,29,SECONDARY,5,300,MARRIED,YES,NO,NO,NO,NONE,24.8015873
MALE,30,SECONDARY,,1100,SINGLE,NO,YES,NO,NO,ACTIVE,22.67573696
MALE,61,VOCATIONAL/GRAMMAR,0,600,MARRIED,YES,YES,NO,NO,NONE,29.40759637
FEMALE,32,SECONDARY,24,,MARRIED,YES,NO,YES,NO,ACTIVE,23.22543185
FEMALE,31,SECONDARY,,1300,MARRIED,YES,YES,NO,NO,ACTIVE,25.390625
MALE,52,SECONDARY,,3000,MARRIED,YES,NO,NO,NO,NONE,29.64268547
FEMALE,74,PRIMARY/NO EDUCATION,0,1070,WIDOWED,YES,NO,NO,NO,NONE,31.25
FEMALE,61,PRIMARY/NO EDUCATION,,,MARRIED,YES,YES,NO,NO,NONE,36.7901662
MALE,68,POST-SECONDARY OR HIGHER,0,3200,MARRIED,YES,NO,NO,NO,NONE,32.59637188
MALE,23,POST-SECONDARY OR HIGHER,0,6000,SINGLE,NO,NO,NO,NO,ACTIVE,26.2911287
MALE,67,SECONDARY,0,,MARRIED,NO,NO,NO,NO,NONE,27.63980131
FEMALE,64,SECONDARY,,1100,MARRIED,YES,NO,NO,NO,NONE,37.20238095
MALE,53,PRIMARY/NO EDUCATION,12,500,SINGLE,YES,NO,NO,NO,NONE,19.6282647
FEMALE,78,SECONDARY,,1600,WIDOWED,YES,NO,NO,NO,PASSIVE,22.48132907
MALE,17,SECONDARY,,,SINGLE,NO,NO,NO,NO,ACTIVE,19.605192
FEMALE,42,POST-SECONDARY OR HIGHER,0,2300,MARRIED,NO,NO,NO,NO,ACTIVE,37.34186862
FEMALE,24,SECONDARY,0,1050,MARRIED,YES,NO,NO,NO,PASSIVE,21.77384236
MALE,23,POST-SECONDARY OR HIGHER,7,,SINGLE,NO,NO,NO,NO,ACTIVE,20.2812331
MALE,24,SECONDARY,0,1500,MARRIED,YES,YES,NO,NO,NONE,28.68514468
FEMALE,90,VOCATIONAL/GRAMMAR,,850,WIDOWED,YES,NO,NO,NO,NONE,31.5115017
MALE,90,PRIMARY/NO EDUCATION,24,1560,MARRIED,YES,NO,NO,NO,NONE,28.57796068
FEMALE,37,POST-SECONDARY OR HIGHER,,1400,MARRIED,YES,NO,NO,NO,PASSIVE,23.4375
FEMALE,32,POST-SECONDARY OR HIGHER,0,1300,SINGLE,YES,NO,NO,NO,PASSIVE,20.82093992
FEMALE,16,PRIMARY/NO EDUCATION,,,SINGLE,YES,NO,NO,,NONE,22.03856749
FEMALE,34,VOCATIONAL/GRAMMAR,,1800,MARRIED,NO,NO,NO,YES,NONE,25.390625
