ID,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
65424688,01-05-2016,3,1.75,,7291,1,0,0,4,8,1360,1000,1948,0,122016,1860,5499,2,75,615000
65424689,01-05-2016,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,122017,2730,10872,2,70,612500
65424690,01-05-2016,3,2.5,3240,33151,2,0,2,3,10,3240,0,1995,0,122018,4050,24967,1,71,604000
65424691,01-05-2016,3,1.75,2330,14892,1,0,0,3,8,1970,360,1980,0,122019,2570,14217,1,60,588500
65424692,01-05-2016,4,2.5,3310,6500,2,0,0,3,8,3310,0,2012,0,122008,2380,5000,2,80,555000
65424693,01-05-2016,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,122005,2200,10500,1,58,550000
65424694,01-05-2016,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,122020,2590,37500,3,50,550000
65424695,01-05-2016,4,2.5,2860,3345,2,0,0,3,8,2190,670,2004,0,122021,2860,3596,3,73,499950
65424696,01-05-2016,4,1.75,1600,6380,1,0,0,3,8,1130,470,1959,0,122022,1090,6380,3,50,495000
65424697,01-05-2016,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,122023,3000,125017,3,64,491500
65424698,01-05-2016,2,1,880,6380,1,0,0,3,7,880,0,1938,1994,122006,1340,6380,3,66,490000
65424699,01-05-2016,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,0,122024,2780,36224,3,71,482000
65424700,01-05-2016,5,2.5,2210,9655,1,0,0,3,8,1460,750,1976,0,122017,2080,8633,3,79,470000
65424701,01-05-2016,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,0,122014,2260,8839,1,72,463000
65424702,01-05-2016,3,2.5,,5539,2,0,0,3,8,2680,0,2013,0,122025,2990,6037,2,74,459990
65424703,01-05-2016,3,2.5,2430,88426,1,0,0,4,7,1570,860,1985,0,122025,1560,56827,3,78,452500
65424704,01-05-2016,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,0,122026,1320,1180,3,61,445700
65424705,01-05-2016,4,2.25,2160,8119,1,0,0,3,8,1080,1080,1966,0,122027,1850,9000,2,52,440000
65424706,01-05-2016,2,1,800,4850,1,0,0,4,7,800,0,1944,0,122026,1150,4365,2,60,440000
65424707,01-05-2016,3,,1770,2875,2,0,0,3,8,1770,0,1990,0,122009,1770,3833,3,68,439950
65424708,01-05-2016,3,2.25,1970,35100,2,0,0,4,9,1970,0,1977,0,122012,2340,35100,2,70,437500
65424709,01-05-2016,3,2.5,1770,1235,3,0,0,3,8,1600,170,2007,0,122028,1680,1203,3,52,436110
65424710,01-05-2016,4,1,1450,8800,1,0,0,4,7,1450,0,1954,0,122027,1260,8942,2,62,435000
65424711,01-05-2016,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,0,122027,1450,10836,2,64,430000
65424712,01-05-2016,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,0,122029,2070,8250,1,61,420000
65424713,01-05-2016,3,1.5,1570,6700,1,0,0,4,7,1570,0,1956,0,122030,1570,7300,3,78,419000
65424714,01-05-2016,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,0,122015,2290,8228,1,63,407500
65424715,01-05-2016,3,2,1960,13100,1,0,2,5,8,1650,310,1957,0,122031,1960,10518,3,72,403000
65424716,01-05-2016,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,122023,2830,80148,1,80,400000
65424717,01-05-2016,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,0,122032,1440,1263,2,51,385000
65424718,01-05-2016,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,0,122033,2080,8000,3,74,382500
65424719,01-05-2016,,3,3110,7231,2,0,0,3,8,3110,0,1997,0,122023,2820,7311,3,66,367500
65424720,01-05-2016,3,1,1090,6435,1,0,0,4,7,1090,0,1955,0,122034,1340,6435,3,80,365000
65424721,01-05-2016,3,2,1930,11947,1,0,0,4,8,1930,0,1966,0,122035,2200,12825,2,66,342000
65424722,01-05-2016,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,122005,1790,2560,1,77,335000
65424723,01-05-2016,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,0,122036,1450,16215,3,56,335000
65424724,01-05-2016,3,1,1160,9180,1,0,0,3,7,1160,0,1968,0,122037,1160,10282,1,52,315000
65424725,01-05-2016,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,122038,1480,7940,3,65,313000
65424726,01-05-2016,2,1,850,6174,1,0,0,4,7,850,0,1950,0,122014,1100,6174,1,60,308500
65424727,01-05-2016,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,122035,2280,5050,2,64,300000
65424728,01-05-2016,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,0,122034,1590,2306,1,74,295000
65424729,01-05-2016,,3,1850,19966,1,0,0,4,7,1090,760,1992,0,122024,1410,6715,2,58,287200
65424730,01-05-2016,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,122039,2310,9176,3,80,285000
65424731,01-05-2016,3,2.5,2090,10834,1,0,0,4,8,1360,730,1987,0,122040,1750,8595,2,56,285000
65424732,01-05-2016,3,1.75,1800,23103,1,0,0,3,7,1800,0,1968,0,122041,1410,18163,3,62,284000
65424733,01-05-2016,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,0,122025,1680,11104,3,78,275000
65424734,01-05-2016,4,2,1480,8625,1,0,0,4,7,1480,0,1974,0,122042,2130,8502,1,60,260000
65424735,01-05-2016,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,122043,1400,7500,3,56,257950
65424736,01-05-2016,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,0,122035,1380,10284,3,77,242500
65424737,01-05-2016,2,1,1210,9400,1,0,0,2,6,1210,0,1949,0,122034,1580,6026,3,73,235000
65424738,02-05-2016,,2.75,2920,6605,2,0,0,3,8,2920,0,2012,0,122015,3030,6605,1,62,625000
65424739,02-05-2016,2,1,900,5000,1,0,0,3,7,900,0,1944,0,122007,1280,5000,1,68,553000
65424740,02-05-2016,3,2.5,1650,14054,1,0,0,4,7,1130,520,1986,0,122012,1940,87555,2,57,379880
65424741,02-05-2016,3,1,1010,9945,1,0,0,4,6,1010,0,1973,0,122008,1390,12710,3,60,310000
65424742,03-05-2016,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,0,122044,2280,6459,1,52,783500
65424743,03-05-2016,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,0,122045,2315,7045,2,65,775000
65424744,03-05-2016,4,2,2280,6010,1,0,0,3,7,1140,1140,1900,0,122044,2240,6200,1,51,628000
65424745,03-05-2016,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,0,122046,2350,7557,2,53,365000
65424746,03-05-2016,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,0,122023,2140,9933,2,59,331950
65424747,04-05-2016,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,0,122045,4850,217800,1,55,2280000
65424748,04-05-2016,2,,2220,4000,2,0,0,3,9,2220,0,2000,0,122047,1870,4000,3,67,1430000
65424749,04-05-2016,5,3.5,4010,8510,2,0,1,5,9,2850,1160,1971,0,122004,2610,6128,1,50,1400000
65424750,04-05-2016,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,1992,0,122045,2720,97138,1,73,1090000
65424751,04-05-2016,,2.75,3190,16920,1,0,3,3,9,1690,1500,1976,0,122027,3100,13100,1,53,1030000
65424752,04-05-2016,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,122010,1340,17689,3,52,900000
65424753,04-05-2016,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,0,122012,4420,5750,1,57,890000
65424754,04-05-2016,5,3.5,4490,6000,2,0,0,3,10,3200,1290,2006,0,122012,4530,6000,2,70,890000
65424755,04-05-2016,,3,3690,9892,2,0,0,3,10,3690,0,1998,0,122020,3430,11294,3,62,865000
65424756,04-05-2016,,2.75,2600,5390,1,0,0,4,8,1300,1300,1960,0,122032,2550,5600,2,69,855000
65424757,04-05-2016,,3,2170,4000,2,0,0,4,9,1610,560,1982,2011,122047,1670,4000,3,73,831000
65424758,04-05-2016,4,2.5,3400,9692,2,0,0,3,9,3400,0,2007,0,122005,3070,7375,3,58,830000
65424759,04-05-2016,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,122044,2020,5000,3,68,823000
65424760,04-05-2016,5,2.5,3180,13806,2,0,0,4,10,3180,0,1990,0,122010,3180,13798,1,76,800866
65424761,04-05-2016,3,2.5,3240,7857,2,0,0,3,10,3240,0,1994,0,122020,2970,7857,3,66,800000
65424762,04-05-2016,3,1.75,1330,7500,1,0,0,3,8,1330,0,1961,0,122048,1690,7800,3,56,787000
65424763,04-05-2016,4,2.5,2730,10281,2,0,2,3,9,2730,0,1996,0,122019,2750,7220,3,79,780000
65424764,04-05-2016,3,2,2350,5700,1.5,0,0,4,8,1810,540,1939,0,122047,2170,6000,1,77,770000
65424765,04-05-2016,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,0,122049,1570,10762,2,73,755000
65424766,04-05-2016,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,122003,2010,3600,2,55,740000
65424767,04-05-2016,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,0,122015,3715,29170,2,77,736500
65424768,04-05-2016,4,,2450,4247,2,0,0,3,8,2450,0,2013,0,122005,2970,4685,1,75,712198
65424769,04-05-2016,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,122011,2130,4106,3,59,705380
65424770,04-05-2016,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,1998,122004,1950,5000,3,69,670000
65424771,04-05-2016,4,2.5,2800,5900,1,0,0,3,8,1660,1140,1963,0,122006,2580,5900,2,63,665000
65424772,04-05-2016,4,1,1390,4240,1,0,0,3,7,1050,340,1924,0,122028,1810,4240,1,68,657100
65424773,04-05-2016,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,0,122050,3010,9000,2,75,650000
65424774,04-05-2016,4,,2440,6651,2,0,0,3,9,2440,0,2014,0,122007,1350,7653,2,77,631625
65424775,04-05-2016,4,2.25,1990,7712,1,0,0,3,8,1210,780,1973,0,122012,1720,7393,3,61,627000
65424776,04-05-2016,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,0,122033,1480,2441,2,52,620000
65424777,04-05-2016,3,2,1800,5000,1,0,0,4,7,1080,720,1942,0,122006,1800,5000,1,69,618500
65424778,04-05-2016,4,1.75,2300,11700,1,0,0,4,9,1960,340,1977,0,122005,2840,12000,3,50,615000
65424779,04-05-2016,3,1.75,1670,39639,1,0,0,4,8,1670,0,1976,1992,122020,2330,30492,1,77,600000
65424780,04-05-2016,3,1.75,1880,6360,1,0,0,4,7,1040,840,1945,0,122006,1770,6175,2,57,600000
65424781,04-05-2016,2,1,1770,8640,1.5,0,0,3,6,1520,250,1949,0,122007,1060,4804,3,77,585000
65424782,04-05-2016,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,122051,2160,6000,3,77,580000
65424783,04-05-2016,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,0,122005,2080,8260,2,78,570000
65424784,04-05-2016,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,122019,2030,8744,2,58,560000
65424785,04-05-2016,3,2.5,1940,3211,2,0,0,3,8,1940,0,2009,0,122012,1880,3078,3,60,555000
65424786,04-05-2016,2,1,1140,5400,1,0,0,5,7,1140,0,1908,0,122047,1520,4800,1,68,549000
65424787,04-05-2016,4,2.5,2910,6338,2,0,0,3,8,2910,0,2008,0,122015,2500,5877,3,54,549000
65424788,04-05-2016,,2.75,2740,8426,1,0,0,4,8,1370,1370,1960,0,122027,2020,8783,1,69,541125
65424789,04-05-2016,,,1270,1175,2,0,0,3,8,1110,160,2000,0,122028,1290,1800,1,71,531000
65424790,04-05-2016,5,1.75,2550,71874,1,0,0,5,7,1810,740,1960,0,122012,2170,51400,2,65,525888
65424791,04-05-2016,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,122032,1470,6000,3,70,524000
65424792,04-05-2016,3,2.5,1790,2700,2,0,0,3,8,1790,0,2010,0,122012,1890,3078,1,79,509900
65424793,04-05-2016,4,1,2070,7519,1,0,0,3,7,1160,910,1963,0,122029,1730,7519,2,56,501000
65424794,04-05-2016,4,2.5,2910,6479,2,0,0,3,7,2910,0,2006,0,122008,2320,5178,1,50,499000
65424795,04-05-2016,,2.75,3200,9200,1,0,2,4,8,1600,1600,1953,0,122052,2220,9500,2,56,497300
65424796,04-05-2016,4,1.75,2010,9211,1,0,0,3,7,1470,540,1977,0,122033,1840,8500,3,62,487585
65424797,04-05-2016,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,0,122033,1440,8088,1,53,485000
65424798,04-05-2016,3,2.5,3040,4535,2,0,0,3,9,3040,0,2007,0,122053,2670,4666,2,79,478000
65424799,04-05-2016,4,2,1480,3844,1.5,0,0,5,7,1480,0,1928,0,122038,1480,3844,1,73,449250
65424800,04-05-2016,5,2,,9240,1,0,0,4,7,1540,300,1942,1958,122038,1200,5250,3,78,435000
65424801,04-05-2016,2,2.5,1590,1426,2,0,0,3,8,1590,0,2014,0,122011,1590,1426,2,80,419190
65424802,04-05-2016,3,2,1410,6030,1.5,0,0,4,7,1410,0,1930,0,122028,1410,6300,2,51,418000
65424803,04-05-2016,3,,1408,989,3,0,0,3,8,1408,0,2005,0,122006,1408,1342,1,64,416286
65424804,04-05-2016,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2010,0,122012,1620,1299,3,59,415000
65424805,04-05-2016,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,0,122012,2730,36404,1,74,410000
65424806,04-05-2016,3,,1410,1332,3,0,0,3,8,1410,0,2005,0,122028,1430,1448,2,70,406100
65424807,04-05-2016,,3,1410,1240,2,0,0,3,8,1140,270,2006,0,122016,1410,1273,3,74,405000
65424808,04-05-2016,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,0,122014,1480,9519,2,77,400000
65424809,04-05-2016,2,1,840,5510,1,0,0,3,7,840,0,1955,0,122016,1630,5510,2,79,400000
65424810,04-05-2016,3,2.5,2230,4000,2,0,0,3,7,2230,0,1954,0,122054,1310,4000,3,78,398750
65424811,04-05-2016,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,0,122018,1760,25919,2,63,384900
65424812,04-05-2016,4,1.75,1970,9389,1,0,0,5,7,1140,830,1960,0,122038,1820,8135,1,72,379950
65424813,04-05-2016,3,3,,,3,0,0,3,8,1571,0,2008,0,122022,1520,1497,1,62,366750
65424814,04-05-2016,5,1,1120,9022,1.5,0,0,4,7,1120,0,1962,0,122033,1310,7500,3,69,340000
65424815,04-05-2016,2,1.5,1160,1438,2,0,0,3,7,1160,0,2001,0,122054,1220,1740,1,72,340000
65424816,04-05-2016,2,1,1140,5250,1.5,0,0,4,6,1140,0,1949,0,122038,1450,5250,2,65,329950
65424817,04-05-2016,4,2.5,2370,6500,2,0,0,3,9,2370,0,1998,0,122023,2590,6137,3,60,328000
65424818,04-05-2016,,2.75,2310,5000,2,0,0,3,7,2310,0,2006,0,122024,1980,5000,3,68,309950
65424819,04-05-2016,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,0,122042,1810,7915,3,52,309950
65424820,04-05-2016,3,2,1050,10072,1,0,0,3,7,1050,0,1986,0,122055,1130,10087,3,56,300000
65424821,04-05-2016,3,1,,6000,1,0,0,4,7,1450,0,1953,0,122051,1170,6464,2,61,287000
65424822,04-05-2016,3,2,1550,15040,1,0,0,4,6,1550,0,1958,0,122015,1510,41416,3,65,249950
65424823,04-05-2016,3,1.75,1920,9306,1,0,0,3,7,1000,920,1984,0,122039,1860,8458,3,54,245000
65424824,04-05-2016,2,1,1200,8063,1,0,0,4,6,1200,0,1958,0,122043,1200,7500,2,56,232000
65424825,04-05-2016,4,1.5,1240,9600,1,0,0,3,7,1240,0,1971,0,122018,1240,9592,1,52,220000
65424826,04-05-2016,4,1.5,1120,5427,1,0,0,3,6,1120,0,1969,2014,122035,1150,5304,3,77,219900
65424827,04-05-2016,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,122055,1800,128066,1,58,210000
65424828,04-05-2016,5,2,2050,10200,1,0,0,3,6,1430,620,1956,0,122043,1940,8625,1,73,210000
65424829,04-05-2016,2,1,810,7158,1,0,0,5,6,810,0,1944,0,122056,1090,7158,2,75,206000
65424830,04-05-2016,3,1.75,1490,10125,1,0,0,4,7,1490,0,1962,0,122039,2488,4981,1,55,184000
65424831,05-05-2016,5,4,4510,15175,2,0,0,3,10,4510,0,1969,2002,122057,3510,13500,1,65,1870000
65424832,05-05-2016,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,122048,2490,10279,1,68,1800000
65424833,05-05-2016,,3.25,3760,10920,1.5,0,0,5,9,2400,1360,1950,0,122004,3430,11050,3,62,1580000
65424834,05-05-2016,4,2.25,3490,6906,2,0,0,4,10,2280,1210,1928,0,122032,2540,6223,1,61,1230000
65424835,05-05-2016,4,2.75,,8103,1,0,3,3,9,1970,1400,1970,2014,122016,2120,6360,2,60,1140000
65424836,05-05-2016,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,0,122013,1890,3505,3,65,1050000
65424837,05-05-2016,3,2.5,2690,4047,3,0,0,3,10,2690,0,2014,0,122007,2040,5000,1,65,979000
65424838,05-05-2016,,3.5,3020,4082,2,0,0,3,9,2080,940,1954,2004,122032,2060,5102,1,60,910000
65424839,05-05-2016,4,2,3740,32417,2,0,0,3,9,3740,0,2000,0,122045,3180,32417,2,73,860000
65424840,05-05-2016,4,2.5,3040,6425,2,0,0,3,8,3040,0,2008,0,122005,3040,7800,2,57,776000
65424841,05-05-2016,4,2.5,3880,14550,2,0,0,3,10,3880,0,1987,0,122019,3240,14045,3,55,762300
65424842,05-05-2016,4,,2290,12047,2,0,0,4,9,2290,0,1988,0,122027,3130,15666,1,50,736000
65424843,05-05-2016,4,2.5,3200,12369,2,0,0,3,10,3200,0,1998,0,122015,3770,12960,2,61,725126
65424844,05-05-2016,4,2.5,3030,7864,2,0,0,3,9,3030,0,1999,0,122019,2790,7034,3,74,685000
65424845,05-05-2016,2,1,930,36478,1,0,2,3,6,930,0,1951,0,122027,2800,11141,3,79,675000
65424846,05-05-2016,4,3.5,3380,8330,2,0,0,3,8,3380,0,2000,0,122050,2220,8330,2,76,655500
65424847,05-05-2016,3,1.5,1630,7475,1,0,1,3,7,1160,470,1940,0,122006,2320,7475,1,65,650000
65424848,05-05-2016,5,3.5,3480,36615,2,0,0,4,8,2490,990,1983,0,122020,2540,35910,3,66,650000
65424849,05-05-2016,4,2,2060,5000,1,0,0,3,7,1030,1030,1949,2013,122007,1280,5000,1,66,612500
65424850,05-05-2016,4,3,2450,10117,1,0,0,5,8,1580,870,1967,0,122027,2530,10125,2,78,610000
65424851,05-05-2016,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,0,122005,2450,37981,2,69,609000
65424852,05-05-2016,4,,2110,13850,2,0,0,3,9,2110,0,1987,0,122012,2520,10194,2,50,606000
65424853,05-05-2016,4,2.25,2260,29930,2,0,0,4,8,1400,860,1977,0,122027,2770,29930,3,58,599000
65424854,05-05-2016,,3.25,3569,8327,2,0,0,3,10,3569,0,2013,0,122042,2550,5251,1,69,580000
65424855,05-05-2016,3,1.75,2130,6500,1,0,2,3,8,1170,960,1954,0,122032,2020,5000,3,58,575000
65424856,05-05-2016,,3,3100,15480,2,0,0,3,8,2400,700,1996,0,122058,2000,42500,2,67,563000
65424857,05-05-2016,5,2.25,3040,8111,2,0,0,3,8,3040,0,1984,0,122005,2020,8304,3,72,562000
65424858,05-05-2016,3,2,,,2,0,0,3,7,2000,0,1916,1986,122016,1840,7000,2,62,561000
65424859,05-05-2016,3,2.5,1850,10109,2,0,0,3,8,1850,0,1991,0,122033,1780,9660,3,56,535000
65424860,05-05-2016,,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,122028,1400,3780,1,79,533000
65424861,05-05-2016,5,2.5,,,1,0,0,4,7,1690,1220,1964,0,122029,2830,10385,3,54,530000
65424862,05-05-2016,3,2.5,2970,11985,1,0,0,3,9,1770,1200,1995,0,122019,2990,12049,3,70,525000
65424863,05-05-2016,3,2.5,2460,54885,2,0,0,4,8,2460,0,1980,0,122015,2770,21407,1,77,520000
65424864,05-05-2016,3,1.5,1430,8000,1,0,0,4,7,1430,0,1956,0,122030,1450,8000,2,78,518000
65424865,05-05-2016,3,2.5,1790,7167,2,0,0,3,8,1790,0,1989,0,122019,1680,7418,3,71,515000
65424866,05-05-2016,4,2.5,,5684,2,0,0,3,8,2000,0,1996,0,122058,2210,7066,3,72,513000
65424867,05-05-2016,3,,1480,1171,3,0,0,3,8,1480,0,2006,0,122047,1480,1231,1,56,500000
65424868,05-05-2016,2,1.75,1170,2400,1,0,0,4,7,740,430,1903,0,122028,1570,3919,1,54,499000
65424869,05-05-2016,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,0,122007,1510,6600,1,57,488000
65424870,05-05-2016,3,2,,4080,1.5,0,0,3,7,1420,0,1905,2013,122028,1420,4590,2,55,485000
65424871,05-05-2016,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,0,122004,1660,4000,2,76,484000
65424872,05-05-2016,4,2.5,2740,45732,2,0,0,3,8,2740,0,1995,0,122037,2080,43560,2,70,483500
65424873,05-05-2016,,3,3470,117612,1.5,0,0,3,7,3470,0,1924,0,122058,2120,17100,3,65,475000
65424874,05-05-2016,2,1,1030,4400,1,0,0,3,7,1030,0,1924,0,122007,1400,4200,2,61,469000
65424875,05-05-2016,3,2.25,1970,11088,1,0,0,4,8,1180,790,1967,0,122014,1970,10470,3,56,465000
65424876,05-05-2016,2,2.25,1230,929,2,0,0,3,8,1020,210,2004,0,122044,1270,1370,2,73,460000
65424877,05-05-2016,5,2.5,2240,7770,1,0,0,3,7,1340,900,1978,0,122033,1820,7770,2,52,455000
65424878,05-05-2016,2,2,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,122007,1390,4000,3,70,450000
65424879,05-05-2016,4,2,1520,7983,1,0,0,5,7,1520,0,1967,0,122033,1520,7783,1,60,425000
65424880,05-05-2016,4,2.25,2810,23400,1,0,1,3,7,1710,1100,1958,0,122043,1860,14900,1,71,407000
65424881,05-05-2016,4,1.75,1840,10720,1,0,0,3,7,960,880,1958,0,122029,1840,9044,1,64,404000
65424882,05-05-2016,4,2,1440,7680,1,0,0,3,7,1200,240,1971,0,122033,1460,9660,3,66,397000
65424883,05-05-2016,3,1.75,1260,6500,1,0,0,4,7,1260,0,1966,0,122029,1500,7700,3,51,390000
65424884,05-05-2016,,3.75,2890,5000,1,0,0,3,7,1310,1580,2006,0,122059,1930,5117,1,72,390000
65424885,05-05-2016,3,1,1230,9568,1,0,0,5,7,1230,0,1962,0,122053,1270,9575,2,56,387000
65424886,05-05-2016,3,1.75,1900,5520,1,0,0,3,7,1280,620,1982,0,122051,1330,5196,3,50,385000
65424887,05-05-2016,4,1.75,1500,11600,1,0,0,4,7,1000,500,1955,0,122058,1740,11600,2,65,379900
65424888,05-05-2016,3,2,1270,1320,3,0,0,3,8,1270,0,2006,0,122028,1370,1320,2,59,369950
65424889,05-05-2016,3,1.5,1410,9647,1,0,0,3,8,1410,0,1961,0,122050,2090,9272,2,78,367500
65424890,05-05-2016,3,1.5,,8160,1,0,0,3,7,1310,0,1950,0,122038,1090,7560,1,69,365000
65424891,05-05-2016,3,2.25,1640,14374,1,0,0,4,7,1140,500,1963,0,122060,2020,10500,2,70,362000
65424892,05-05-2016,4,2,2680,18768,1,0,0,5,8,2680,0,1965,0,122039,1230,15750,1,54,360000
65424893,05-05-2016,3,1,1350,7740,1,0,0,4,6,860,490,1947,0,122022,1130,7740,2,64,353000
65424894,05-05-2016,4,2.5,2331,3826,2,0,0,3,8,2331,0,2007,0,122046,2441,3826,2,65,345000
65424895,05-05-2016,3,1,1110,6250,1,0,0,3,7,1110,0,1956,0,122006,2010,6944,3,61,345000
65424896,05-05-2016,2,1,720,6687,1,0,0,3,6,720,0,1942,0,122007,840,6687,2,53,329350
65424897,05-05-2016,4,2.5,,,1,0,0,3,7,980,910,1980,0,122034,1590,6954,1,78,325000
65424898,05-05-2016,3,1,1510,6083,1,0,0,4,6,860,650,1940,0,122006,1510,5712,2,73,313950
65424899,05-05-2016,4,2,1300,7054,1,0,0,3,7,1300,0,1950,2013,122052,1560,7100,1,64,312000
65424900,05-05-2016,3,2.25,1980,8000,1,0,0,4,9,1560,420,1974,0,122018,2360,8000,3,51,295000
65424901,05-05-2016,4,2.5,2000,5390,2,0,0,3,7,2000,0,2003,0,122035,2330,5390,3,73,284000
65424902,05-05-2016,3,1.75,1630,11800,1,0,0,4,7,1630,0,1971,0,122025,2090,57428,2,75,280000
65424903,05-05-2016,3,1.75,1580,8151,1,0,1,4,7,1100,480,1962,0,122043,1650,8151,3,79,279900
65424904,05-05-2016,3,,1650,13816,2,0,0,3,7,1650,0,1998,0,122041,1650,15144,1,61,272000
65424905,05-05-2016,3,1,1050,6874,1,0,0,3,6,1050,0,1954,0,122038,1500,8954,3,53,250000
